fac_no_faction|세력 없음
fac_commoners|일반인
fac_outlaws|무법자
fac_neutral|중립
fac_innocents|Innocents
fac_merchants|상인
fac_wild_animals|야생 동물
fac_player_faction|Player Faction
fac_player_supporters_faction|Player's Supporters
fac_kingdom_1|조선
fac_kingdom_2|그리스
fac_kingdom_3|카르타고
fac_kingdom_4|고르 왕조
fac_kingdom_5|로마
fac_kingdom_6|누미디아
fac_kingdom_7|노브고로드
fac_kingdom_8|프랑스
fac_kingdom_9|페르시아
fac_kingdom_10|덴마크
fac_kingdom_11|게르만
fac_kingdom_12|스웨덴
fac_kingdom_13|아이유브 왕조
fac_kingdom_14|호라즘 샤 왕조
fac_kingdom_15|폴란드
fac_kingdom_16|튜턴기사단
fac_kingdom_17|촉
fac_kingdom_18|영국
fac_kingdom_19|오
fac_kingdom_20|왜
fac_kingdom_21|아라곤
fac_kingdom_22|노르웨이
fac_kingdom_23|카스틸라
fac_kingdom_24|헝가리
fac_kingdom_25|포르투갈
fac_kingdom_26|콘스탄티노플 라틴 제국
fac_kingdom_27|크메르
fac_kingdom_28|위
fac_kingdom_29|여진
fac_kingdom_30|몽골
fac_kingdom_31|서하
fac_neko|위험인물
fac_arrians|아리안족
fac_eadfrith|에드필스
fac_christians|유일신교 숭배자 무리
fac_pagans|토착 종교 숭배자 무리
fac_manhunters|현상금 사냥꾼
fac_deserters|탈영병
fac_mountain_bandits|산적
fac_forest_bandits|도적
fac_apoyoplayer|중립
