qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Gate_was_destroyed.|입구가 파괴되었습니다.
qstr_Castle_gate_was_dest|성문이 파괴되었습니다.
qstr_drawbridge_was_destr|도개교가 파괴되었습니다.
qstr_Belfry_was_destroyed|공성탑이 파괴되었습니다.
qstr_Ladder_was_destroyed|사다리가 파괴되었습니다.
qstr_Battering_ram_was_de|공성추가 파괴되었습니다
qstr_Portcullis_was_destr|쇠창살문이 파괴되었습니다
qstr_Draw_bridge_was_dest|도개교가 파괴되었습니다.
qstr_Ship_{reg0}__was_des|함선({reg0})가 파괴되었습니다.
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_Brytenwalda_v{s1}_|Brytenwalda v1.41 : HOMB v1.0.7.1.3 - Molda(http://loogoos.tistory.com)
qstr_Next_Page|다음 페이지
qstr_Co_op_Admin_Panel|Co-op Admin Panel
qstr_Game_Rules:^|게임 방식:^
qstr_0|0
qstr_Show_game_rules|게임 방식 보기
qstr_Continue...|계속...
qstr_Action|행동
qstr_Mount|말에 올라타라
qstr_Attack_Type|공격 형태
qstr_Stand_Ground|정지!
qstr_Charge|돌격!
qstr_Follow_Me|나를 따르라!
qstr_Hold_This_Position|이 위치로!
qstr_Spread_Out|산개대형
qstr_Stand_Closer|밀집대형
qstr_Fall_Back|후퇴!
qstr_Advance|전진!
qstr_Dismount|말에서 내려라
qstr_Fire_At_Will|자유 사격
qstr_Hold_Your_Fire|사격 중지
qstr_Use_Blunt_Weapons|둔기만 사용해라(포로획득)
qstr_Use_Any_Weapon|주무기를 사용해라
qstr_Ready|대기
qstr_Wounded|부상
qstr_Dead|사망
qstr_Done|확인
qstr_Select_your_domestic|당신의 정치유형을 선택
qstr_Centralization:|중앙집권화:
qstr_Aristocracy:|귀족정치:
qstr_Serfdom:|농노위주:
qstr_Troop_quality:|병력의 질:
qstr_Mercantilism:|중상주의:
qstr_High_centralization_|높은 중앙 집권화는 세금 비효율을 감소시킵니다. 하지만 군주와 가신들 사이가 나빠질수 있습니다.
qstr_High_aristocracy_wil|귀족정치는 군주와 가신의 사이가 양호하고 각 군대의 규모를 키우는데 유리하지만 교역이 감소해 자금문제가 발생합니다.
qstr_High_serfdom_reduces|농노를 위한 정치는 세금 비효율을 감소시키고 군대의 규모를 키우는데 매우 유리하지만 사기가 아주 낮아 집니다.
qstr_High_troop_quality_i|군대의 질을 높이는 것은 소수정예를 뜻합니다.
qstr_Mercantilistic_polic|중상주의는 수출을 극대화하고 수입을 최소화 시켜, 각종 산업을 육성하는 것입니다.
qstr_Cancel|취소
qstr_Dictate_the_peace_te|평화 약관을 지시
qstr_Select_the_castle_an|성과 돈의 양을 설정하고 상자를 체크하여 해당 요구를 활성화 시킵니다. 상자가 체크되어야 요구가 정상적으로 처리됩니다.
qstr_1000_scillingas|1000 실버
qstr__Continue_| 계속 
qstr_Select_the_number_of|임무를 수행할 숫자를 선택하시오.
qstr_____SPY_REPORTS____|    스파이 보고서    
qstr_Based_on_your_curren|당신의 리더쉽 스킬에 기반하여, {reg2}의 스파이가 운용 가능하다.
qstr_You_currently_have_{|당신은 현재 {reg3}의 스파이를 운용하고 있다.
qstr___No_spy_selected.__|  선택된 스파이 없음.  
qstr___CONTINUE__|  계속  
qstr_castle|성
qstr_food_stores.|식료품 가게.
qstr_town|도시
qstr_village|마을
qstr_cattle.|가축.
qstr_You_prepare_a_messag|{s1}의 스파이를 위한 메시지를 준비합니다. 그에게 내릴 지시는.....
qstr__Return_| 돌아가기 
qstr__poison_{s2}_well._|{s2}의 우물에 독을 타라. 
qstr__poison_{s2}_{s3}._|{s2}의 {s3}를 중독시켜라. 
qstr__cause_dissent._| 내분을 일으켜라. 
qstr_____|    
qstr_Do_it.|그리 하겠습니다.
qstr_Make_it_so.|그대로 하지요.
qstr_Have_your_fun.|재밌겠군요.
qstr_I_shall_mix_the_conc|우물에 투하할 이 약품을 조제하는데 12시간 필요합니다, 마이 {로드/레이디}.
qstr_I_ll_have_the_cattle|전염된 가축을 준비하는데 12시간 필요합니다. {로드/레이디}.
qstr_Within_the_next_12_h|12시간이 필요합니다.
qstr_It_will_take_12_hour|12시간 혹은 그 이상 걸립니다, {로드/레이디},^그정도 시간이면 그곳 사람들이 서로 치고박도록 만드는게 충분히 가능하리라 봅니다.
qstr__You_do_not_have_the| 이 임무를 수행하기 위한 500실버이 없습니다.
qstr_Number_of_men_knocke|쓰러진 사람 수: {reg1}명
qstr_Number_of_men_left:_|남은 사람 수: {reg1}명
qstr_Opponents_Beaten:_{r|쓰러진 상대방 전사: {reg1}명
qstr_Opponents_Remaining:|남은 상대방 전사: {reg1}명
qstr_Remain_in_retirement|모험에서 은퇴한다.
qstr_Go_back_to_the_adven|모험을 계속한다.
qstr_You_have_retired_at_|당신은 {reg5}일 동안 모험을 하였고 레벨 {reg4}에 은퇴하였습니다.
qstr_Effect_on_Score|효과 점수
qstr_Settlements_owned_by|정착민들이 당신을 신뢰합니다: {reg0}
qstr_Friendly_Settlements|호의적인 정착민들: {reg0}
qstr_Hostile_Settlements:|적대적인 정착민들: {reg0}
qstr_Friendly_Lords:_{reg|호의적인 군주: {reg0}
qstr_Enemy_Lords:_{reg0}|적대적 군주: {reg0}
qstr_Victories:_{reg0}|승리: {reg0}
qstr_Defeats:_{reg0}|패배: {reg0}
qstr_Quests_Completed:_{r|퀘스트 완료: {reg0}
qstr_Companions_Found:_{r|합류한 영웅: {reg0}
qstr_Companions_Lost/Depa|상실/떠난 영웅: {reg0}
qstr_Wealth:_{reg0}_scill|Wealth: {reg0} scillingas
qstr_Inventory:_{reg0}_sc|Inventory: {reg0} scillingas
qstr_Renown:_{reg0}|명성: {reg0}
qstr_Experience:_{reg0}|경험치: {reg0}
qstr_Days_Passed:_{reg0}|보낸 일 수: {reg0}
qstr_Difficulty:_{reg0}%|난이도: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|총 점: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|없음
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Wages_for_your_Shipc|당신의 선원에 대한 유지비용/s:
qstr_Staff:|구성원:
qstr_Tributes_from_your_n|귀족들로 부터 받는 공물:
qstr_You_paid_{reg0}_cash|당신은 부채를 갚기위해 {reg0} 실버를 지불 하였습니다.
qstr_Earlier_cash:|이전 소지 금액:
qstr_New_cash:|새로운 소지 금액:
qstr_Your_troops_are_unpa|당신의 부대원이 임금을 받지 못했습니다!  사기가 떨어지고 있습니다.
qstr_Manage_Ship|선박 관리
qstr_{s12}Ships_were_an_i|{s12}Ships were an important part of society, not only as a means of transportation, but also for the prestige that it conferred on her owner and skipper.Their ships permitted the people to embark on their voyages of trading, of raiding, and of exploration.Typically, a warship is narrower, longer, and is powered by oars. The warship is completely open and is built for speed and maneuverability.Cargo carrying capability is the primary concern. A typical warship might have had 16 rowers on each side.^^Warships typically had minimal decking, with removable planks under the rowers laid on the crossbeams (right), and small raised platforms at the bow and stern.When anchored or in harbor, an awning was arrayed overhead to provide some protection from the elements.A war ship was a valuable item, not only for the prestige and monetary value that went to her owner, but also for her utility in future battles.As a result, the intent in naval combat was to gain control of the ship (and any valuables she might be carrying) while minimizing any damage to the ship.This goal was achieved not by attacking the ship, but rather by attaching the ship's crew.The attackers attempted to sweep the decks free of the enemy without damaging the ship or her gear, and thus gain control of the ship.
qstr_Select_ship:|선택된 선박:
qstr_Name_your_ship:|선박의 명칭:
qstr_Rename_Ship.|선박의 명칭을 변경한다.
qstr_Send_ship_to_port:|선박을 다음 항구로 보낸다:
qstr_Verify.|확인하다.
qstr_Manage_the_crew.|선원을 관리한다.
qstr_View_the_ship_regist|선박의 목록을 확인한다.
qstr_This_is_your_ship__{|이것은 당신의 선박 '{s13}'입니다. 현재 {reg7}명의 선원이 상주해 있습니다.^^
qstr_Make_sure_you_select|먼저 선박을 고르세요
qstr_Your_ship_{s15}_succ|당신의 선박 {s15}는 {s16}로 향했습니다.
qstr_Make_sure_a_ship_is_|당신의 선박을 선택하고, 적당하 선원을 태운 다음 정박할 공간이 있는 다른 항구로 보내세요.
