dlga_event_triggered:upgrade_talk|네? {s65}?
dlga_upgrade_talk:upgrade_talk_1|전투에서 잘 싸우더군, 병사.
dlga_upgrade_talk_1:upgrade_talk_2|오직 제 의무를 다할 뿐입니다 {s65}, 주군.
dlga_upgrade_talk_2:upgrade_talk_3a|자네의 무용에 대해 널리 이야기가 퍼질걸세, 자네는 영웅일세!
dlga_upgrade_talk_2:upgrade_talk_3b|단지 자네의 숙련됨을 알고있다 뿐이네만. 이제 자네 위치로 돌아가시게!
dlga_upgrade_talk_3a:upgrade_talk_4a|자네는 나를 명예롭게 하였지. 내가 할 수 있는 최대한의 경의를 표하고 싶군.
dlga_upgrade_talk_4a:upgrade_talk_5|자네는 이제 {s21}로 불려질걸세.
dlga_upgrade_talk_5:close_window|제 새로운 칭호 앞에서 부끄럼 없게 하겠습니다. 제 검에서 피가 마를 날이 없을 것입니다!
dlga_upgrade_talk_3b:close_window|그래. {s65}
dlga_start:port_keeper|뭘 찾으십니까, {sir/lady}?
dlga_port_keeper:port_keeper_2|반갑소 {playername}라 하오. 지금 당신의 하는 일이 뭐요?
dlga_port_keeper_2:port_keeper_3|저는 선적을 관리하고 있습니다.
dlga_port_keeper_3:close_window2|수고하시오.
dlga_port_keeper_3:close_window|음 나랑은 상관 없겠군.
dlga_port_keeper_buy_ship:port_keeper_buy_ship_2|음, 20000실버에 내 배를 가지고 싶군.
dlga_port_keeper_buy_ship_2:port_keeper_buy_ship_3|여기 20000실버 지불하겠소
dlga_port_keeper_buy_ship_2:close_window|이거 너무 비싸군! 거래는 무효요.
dlga_port_keeper_buy_ship_2:port_keeper_teu_boga_duit|그만한 돈이 없군.
dlga_port_keeper_teu_boga_duit:close_window|흠, 미안해요. 제 가족을 먹여살릴려면 더 싸게 팔순 없군요.
dlga_port_keeper_buy_ship_3:close_window|당신과 거래해서 영광이었습니다.
dlga_start:port_st|당신은 뭐하는 사람이지?
dlga_port_st:port_st_2|저는 노예 상인입니다. 이곳 항구에서는 {s9} 포로없이 번영할 수 없습니다.그러니까 만약 당신이 전쟁 포로들을 가지고 있다면 그들을 기꺼히 사도록 하겠습니다.
dlga_port_st_2:port_st_3|당신의 노예중에서 하나 골라 사보고 싶군.
dlga_port_st_2:close_window|그러시죠.
dlga_port_st_3:port_st_4|당신이 무엇을 가지고 있는지 볼까.
dlga_port_st_4:close_window|좋은 거래 감사합니다.
dlga_start:port_r_2|난 {s9}항구의 경비대장이오. 내 부하들과 {s9} 항구로 통하는 무역로를 보호하고 있지. 그래서 뭐 원하는거라도?
dlga_port_r_2:oim_first_talk_to_monfore_4_end|오 만나서 반갑소만. 지금은 어딜 좀 가야해서...
dlga_oim_first_talk_to_monfore_4_end:close_window|해우무노로 향하는게 좋을걸세. 그들이 도움을 원하고 있다는 정보가 있거든.
dlga_port_r_2:close_window|그냥 가겠소.
dlga_event_triggered:award_fief_to_vassal2|승리를 위하여!
dlga_award_fief_to_vassal2:victory_conquista|승리를 위하여. 나는 이곳을 정복할 것이다.
dlga_award_fief_to_vassal2:close_window|이 땅은 필요 없지. 약탈하고 불태워라! 남자는 노예로 팔아치우고 여자는 범해라!
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|영주의 임명은 백성들의 조언을 들을 때까지 보류할 걸세.
dlga_award_fief_to_vassal_defer:close_window|{폐하/여왕폐하}의 뜻대로. 후에 이 문제를 결정하실 수 있습니다.
dlga_award_fief_to_vassal_2:close_window|{폐하/여왕폐하}의 뜻대로. {reg6?제:{reg7?당신:{s11}}}이(가) {s1}의 새로운 {reg3?레이디:영주}가 될 것입니다.
dlga_event_triggered:center_captured_rebellion|{s1}는 아무도 소유하고 있지 않소. 누구에게 맡겨야 하겠소?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|부탁드립니다, {s65}. 제가 {s1}를 소유하고 싶군요. (영지: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, 당신이 {s1}을 다스리시오. (영지: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|You should appoint no one yet, and decide later.
dlga_center_captured_rebellion_2_defer:close_window|Hmmm. All right, {playername}. I value your counsel highly.  I shall defer appointment of a lord for {s1} for the time.
dlga_center_captured_rebellion_2:close_window|흠, 알겠소. {playername}. 나는 당신의 의견을 높이 평가하오. {reg6?I:{reg7?당신:{s11}}}이(가) 새로운 {s1}의 {reg3?레이디:영주}가 될 것이오.
dlga_start:fighter_talk|안녕하시오. 우리는 전투 능력을 기르기 위해 여기서 약간의 대련을 하고 있소. 당신도 훈련받은 사람이로군. 우리와 함께 하시겠소? 몇 가지 기술을 보여드릴 수 있다오. 그리고 전술에 대해 궁금하다면, 질문만 하시오, 바로 최선을 다해 알려드리리다.
dlga_start:fighter_talk.1|무엇을 연습하고 싶소?
dlga_fighter_pretalk:fighter_talk|어떤 훈련을 해보고 싶은 지 말해주겠소?
dlga_fighter_talk:fighter_talk_train_attack|공격 연습을 해보고 싶습니다.
dlga_fighter_talk:fighter_talk_train_parry|제 무기로 공격을 막는 연습을 해보고 싶습니다.
dlga_fighter_talk:fighter_talk_train_combat|가서 실전연습을 해보고 싶습니다!
dlga_fighter_talk:close_window|[떠난다]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|좋아. 공격하는 방법은 4가지가 있네. 머리 위로 상단 공격, 오른쪽 공격, 왼쪽 공격 그리고 찌르기. 이제, 내가 어느 방향으로 공격할 지를 말해주겠네, 그럼 자네가 맞는 방향의 공격을 해보게. ^^(마우스 왼쪽 클릭을 하면서, 특정 방향으로 마우스를 움직여보시오. 예를 들어, 상단 공격을 하려면, 마우스를 위쪽으로 이동시키며 왼쪽 클릭을 하면 됩니다. 스크린의 아이콘이 당신이 맞는 공격을 수행했는지 도움을 줄 것입니다.)
dlga_fighter_talk_train_attack_2:close_window|그럼 시작하십시오. 전 준비가 됐습니다.
dlga_fighter_talk_train_attack_2:fighter_pretalk|사실은 다른 것을 해보고 싶습니다.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|방패 없이, 무기로 방어할 때는 오직 한 방향에서만 오는 공격만 막을 수 있소. 예를 들어 막아 올렸다면, 당신은 머리 위에서 베는 공격을 막을 수 있을테지만, 측면 베기나 찌르기는 막을 수 없소. ^^(당신이 공격을 막기 위해서는 오른쪽 버튼을 누르고 있어야 합니다.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|난 이제 다른 타입의 공격을 할 것이오, 당신은 공격받기 전에 맞는 방향으로 방어하시오. 당신이 가능한한 맞게 방어해보시오. ^^(이 연습은 세팅에서 디폴트로 지정된 막는 방향 설정을 자동으로 두면 쉽습니다. 만약 설정을 키보드나 마우스로 설정하시게 되면 수동으로 방향을 지정해야 합니다. 이런 설정은 더 까다롭지만, 게임의 흥미를 높여줄 수 있습니다. 이 연습은 수동 설정을 연습하는데 유용할 것입니다.)
dlga_fighter_talk_train_parry_3:close_window|그럼 시작하십시오. 전 준비가 됐습니다.
dlga_fighter_talk_train_parry_3:fighter_pretalk|사실은 다른 것을 해보고 싶습니다.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|스파링은 근접전을 위한 최고의 연습 방법이라오. 우리는 지금부터 치명적이지 않은 무기로 서로와 겨룰 것이오, 한 명이 땅에 쓰러질 때까지. 물론 당신은 상처를 입을 수도 있소, 하지만 진짜 무기로 베이는 것보다 나을 것이오.
dlga_fighter_talk_train_combat_2:close_window|지금 당장 시작하죠. 난 준비됐습니다.
dlga_fighter_talk_train_combat_2:fighter_pretalk|사실은 다른 것을 해보고 싶습니다.
dlga_start:fighter_parry_try_again|좋군. 당신을 내 공격을 성공적으로 막았소. 당신은 이 연습을 반복할 것이고 매 시간마다 더 빨리 하게 될 것이오. 이 기술이 충분히 습득되기 전까지 말이오. 다시 한번 하길 원하시오?
dlga_start:fighter_parry_try_again.1|글쎄... 영 시원치 않군, 그렇지 않소? (기억하십시오, 당신이 반드시 오른쪽 마우스 버튼을 누르고 있어야 효과적으로 방어가 됩니다.) 다시 하길 원하시오?
dlga_fighter_parry_try_again:fighter_talk_train_parry|네. 다시 한번 합시다.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|아뇨, 지금은 됐습니다.
dlga_start:fighter_parry_warn|이보시오! 당신은 방어 연습 중이잖소, 친구! 당신은 내 공격을 막아야 할테니, 다신 날 공격하지 마시오.
dlga_fighter_parry_warn:fighter_talk_train_parry|미안합니다. 다시 한번 하죠.
dlga_fighter_parry_warn:fighter_talk_leave_parry|미안합니다. 이 연습은 그만 해야겠습니다.
dlga_fighter_talk_leave_parry:close_window|알겠소. 마음대로 하시오.
dlga_start:fighter_combat_try_again|글쎄...영 시원치 않군, 그렇지 않소? 그렇다고 너무 기분 나빠하지 말고 다시는 실수하지 마시오. 다시 한번 하길 원하시오?
dlga_fighter_combat_try_again:fighter_talk_train_combat|예, 한판 더 합시다.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|아니요, 이 정도면 충분합니다.
dlga_fighter_talk_leave_combat:close_window|알겠소, 마음 바뀌면 다시 말하시오.
dlga_start:fighter_combat_try_again.1|어이, 좋은 스파링이었소. 당신이 날 이겼군, 하지만 다음부턴 좀 조심하시오. 다시 한번 하길 원하시오?
dlga_start:fighter_talk.2|아주 좋소. 당신은 당신이 원하는 방향으로 공격하는 법을 배웠을 것이오. 이것을 다시 할 수도 있고 다른 것을 연습할 수도 있소.
dlga_start:archer_challenge_2|나쁘지 않군. 나쁘지 않소! 당신은 궁술의 기본을 익혔을 것이오. 이제, 같은 것을 석궁으로 연습해보시오. 저기있는 석궁과 볼트를 들고 저 3개의 타겟을 맞춰보시오. 석궁은 활에 비하면 훨씬 쏘기 쉽지만, 조금 재장전 시간이 필요할 것이오.
dlga_start:archer_challenge_2.1|좋소. 석궁을 그리 어렵지 않게 사용하는군. 다음으로 당신은 투척 무기를 배울 것이오. 자벨린을 들고 저기 있는 3개의 목표물을 맞춰보시오.
dlga_start:ranged_end|좋소, 이 연습으로 당신은 모든 3가지 원거리 무기의 기본을 습득하였소. 훈련은 휴식과 병행해야 하오. 매일 훈련을 쉬지 마시오, 열심히 가르쳐 준대로 한다면 당신은 유라시아 최고의 궁술 수준에 도달할 것이오.
dlga_ranged_end:close_window|이제, 이미 그 과정을 거치지 않았다면, 당신은 근접전 교관이나 마술 교관에게 이야길 해보시오. 그들도 당신에게 중요한 스킬을 가르쳐 줄 것이오.
