2363
qstr_{reg61}.0{reg62} {reg61}.0{reg62}
qstr_{reg61}.{reg62} {reg61}.{reg62}
qstr_Gate_was_destroyed. Gate_was_destroyed.
qstr_drawbridge_was_destr drawbridge_was_destroyed.
qstr_Belfry_was_destroyed Belfry_was_destroyed.
qstr_Ladder_was_destroyed Ladder_was_destroyed.
qstr_Battering_ram_was_de Battering_ram_was_destroyed.
qstr_Portcullis_was_destr Portcullis_was_destroyed.
qstr_Draw_bridge_was_dest Draw_bridge_was_destroyed.
qstr_Ship_{reg0}__was_des Ship({reg0})_was_destroyed.
qstr_{reg1}.0 {reg1}.0
qstr_{reg1}.00{reg2} {reg1}.00{reg2}
qstr_{reg1}.0{reg2} {reg1}.0{reg2}
qstr_{reg1}.{reg2} {reg1}.{reg2}
qstr_Brytenwalda_v{s1}_ Brytenwalda_v{s1}_
qstr_Next_Page Next_Page
qstr_Co_op_Admin_Panel Co-op_Admin_Panel
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Show_game_rules Show_game_rules
qstr_Continue... Continue...
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Done Done
qstr_Select_your_domestic Select_your_domestic_policy
qstr_Centralization: Centralization:
qstr_Aristocracy: Aristocracy:
qstr_Serfdom: Serfdom:
qstr_Troop_quality: Troop_quality:
qstr_Mercantilism: Mercantilism:
qstr_High_centralization_ High_centralization_reduces_tax_inefficiency_for_the_king_and_raises_it_for_vassals._This_will_interfere__the_relations_between_ruler_and_vassals.
qstr_High_aristocracy_wil High_aristocracy_will_improve_the_relations_between_the_king_and_his_vassals_who_will_be_able_to_raise_bigger_armies_but_it_will_decreased_trade.
qstr_High_serfdom_reduces High_serfdom_reduces_tax_inefficiency_for_the_king_and_his_vassals_and_vassals_can_maintain_bigger_armies_but_troops_loose_moral.
qstr_High_troop_quality_i High_troop_quality_increases_the_strength_of_troops_but_decreases_army_size.
qstr_Mercantilistic_polic Mercantilistic_policies_maximize_exports_while_minimizing_imports,_and_increase_government_regulation_of_industry.
qstr_Cancel Cancel
qstr_Dictate_the_peace_te Dictate_the_peace_terms
qstr_Select_the_castle_an Select_the_castle_and_the_amount_of_money_and_check_the_boxes_to_activate_the_demand._The_demands_are_combined_if_both_boxes_are_checked.
qstr_1000_scillingas 1000_scillingas
qstr__Continue_ _Continue_
qstr_Select_the_number_of Select_the_number_of_skirmishers_you_wish_to_deploy.
qstr_____SPY_REPORTS____ ____SPY_REPORTS____
qstr_Based_on_your_curren Based_on_your_current_leadership_skill,_you_may_deploy_up_to_{reg2}_spies.
qstr_You_currently_have_{ You_currently_have_{reg3}_spies_deployed.
qstr___No_spy_selected.__ __No_spy_selected.__
qstr___CONTINUE__ __CONTINUE__
qstr_castle castle
qstr_food_stores. food_stores.
qstr_town town
qstr_village village
qstr_cattle. cattle.
qstr_You_prepare_a_messag You_prepare_a_message_for_your_spy_in_{s1},_ordering_him_to_.....
qstr__Return_ _Return_
qstr__poison_{s2}_well._ _poison_{s2}_well._
qstr__poison_{s2}_{s3}._ _poison_{s2}_{s3}._
qstr__cause_dissent._ _cause_dissent._
qstr_____ ____
qstr_Do_it. Do_it.
qstr_Make_it_so. Make_it_so.
qstr_Have_your_fun. Have_your_fun.
qstr_I_shall_mix_the_conc I_shall_mix_the_concoction_and_have_it_in_the_well_within_12_hours,_my_{Lord/Lady}.
qstr_I_ll_have_the_cattle I'll_have_the_cattle_feverish_within_the_next_12_hours_my_{Lord/Lady}.
qstr_Within_the_next_12_h Within_the_next_12_hours,_I'll_have_the_grainery_looking_like_a_refuse_pile.
qstr_It_will_take_12_hour It_will_take_12_hours_or_more,_my_{Lord/Lady},^but_I_shall_have_every_man,_woman_and_child_fighting_in_the_streets.
qstr__You_do_not_have_the _You_do_not_have_the_500_scillingas_to_finance_this_mission.
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
