
str_no_string|NO STRING!
str_empty_string| 
str_yes|네.
str_no|아니오.
str_blank_string| 
str_noone|아무도 없음
str_s50_and_s51|{s50}와(과) {s51}
str_s52_and_s51|{s52}와(과) {s51}
str_s5_s_party|{s5}의 부대
str_given_by_s1_at_s2|{s1}가 {s2}에게 넘겼습니다.
str_given_by_s1_in_wilderness|필드에 있는 동안 {s1}에게 주어졌습니다
str_s7_raiders|{s7}의 강도들
str_bandits_eliminated_by_another|문제를 일으키는 강도들은 다른 부대에 의해 전멸했습니다.
str_msg_battle_won|전투에서 승리했습니다! TAB키를 누르면 나갑니다.
str_tutorial_map1|당신은 지금 전체지도를 보고있습니다. 마을이나 다른 부대을 왼쪽 마우스 버튼으로 클릭하면 이동할 수 있습니다. 당신의 부대가 멈추면 시간도 멈추게 됩니다. 아무대나 머무르기 위해선 스페이스 바를 누르면 됩니다.
str_randomize|무작위로 고르기
str_charge|문장
str_color|색상
str_flip_horizontal|상하 뒤집기
str_flip_vertical|좌우 뒤집기
str_hold_fire|사격 중지
str_blunt_hold_fire|둔기 / 사격 중지
str_tutorial_ammo_refilled|총알이 장전되었습니다.
str_tutorial_failed|실패하셨지만 괜찮습니다. 안내를 잘 따르시면 다음에 더 잘하실 수 있으실 겁니다. Tab키를 눌러 메뉴로 돌아가서 튜토리얼을 다시 시도하실 수 있습니다.
str_finished|(완료)
str_delivered_damage|{reg60}의 데미지 전달.
str_archery_target_hit|거리: {reg61} 야드. 점수: {reg60}
str_use_baggage_for_inventory|전투 중 인벤토리를 사용하기 위해서는 상자를 이용하세요 (상자는 시작 위치에 있습니다).
str_cant_use_inventory_now|지금은 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_arena|투기장에서는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_disguised|변장한 상태에서는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_tutorial|훈련 캠프에서는 인벤토리를 사용할 수 없습니다.
str_1_denar|1 디나르
str_reg1_denars|{reg1} 디나르
str_january_reg1_reg2|{reg2}년 1월 {reg1}일
str_february_reg1_reg2|{reg2}년 2월 {reg1}일
str_march_reg1_reg2|{reg2}년 3월 {reg1}일
str_april_reg1_reg2|{reg2}년 4월 {reg1}일
