
p_zendar|젠다 도시
p_town_1|사르고스
p_town_2|티어
p_town_3|벨루카
p_town_4|수노
p_town_5|젤칼라
p_town_6|프라벤
p_town_7|욱스칼
p_town_8|레이바딘
p_town_9|쿠단
p_town_10|툴가
p_town_11|쿠로우
p_town_12|웨르체그
p_town_13|리바체그
p_town_14|할마
p_town_15|얄렌
p_town_16|디림
p_town_17|이카무르
p_town_18|나라
p_town_19|샤리즈
p_town_20|두르쿠바
p_town_21|아메라드
p_town_22|바리예
p_castle_1|쿨마르 성
p_castle_2|말라유르그 성
p_castle_3|불루가 성
p_castle_4|라도기어 성
p_castle_5|텔로그 성
p_castle_6|틸바우트 성
p_castle_7|선겟치 성
p_castle_8|제이베 성
p_castle_9|자미체 성
p_castle_10|알버크 성
p_castle_11|쿠린 성
p_castle_12|찰벡 성
p_castle_13|켈레단 성
p_castle_14|마라스 성
p_castle_15|아르겔론 성
p_castle_16|알메라 성
p_castle_17|디스타 성
p_castle_18|이스미랄라 성
p_castle_19|이루마 성
p_castle_20|데르치오스 성
p_castle_21|입델레스 성
p_castle_22|언우즈다크 성
p_castle_23|테바린 성
p_castle_24|레인디 성
p_castle_25|라이벨렛 성
p_castle_26|세누그다 성
p_castle_27|린다이어 성
p_castle_28|그룬왈더 성
p_castle_29|넬락 성
p_castle_30|아수간 성
p_castle_31|바인코드 성
p_castle_32|크누다 성
p_castle_33|에트로스크 성
p_castle_34|흐루스 성
p_castle_35|헤링고스 성
p_castle_36|젤베기 성
p_castle_37|드라무그 성
p_castle_38|툴북 성
p_castle_39|슬레작 성
p_castle_40|우훈 성
p_castle_41|자메예드 성
p_castle_42|테람마 성
p_castle_43|샬와 성
p_castle_44|더린 성
p_castle_45|카라프 성
p_castle_46|웨이야 성
p_castle_47|사마라 성
p_castle_48|바르다크 성
p_village_1|야라가
p_village_2|버글렌
p_village_3|아즈가드
p_village_4|노마
p_village_5|쿨룸
p_village_6|에미린
p_village_7|아메레
p_village_8|하엔
p_village_9|버브란
p_village_10|메킨
p_village_11|더스투릴
p_village_12|에머
p_village_13|네메자
p_village_14|삼부자
p_village_15|라이벨렛
p_village_16|샤페시테
p_village_17|마젠
p_village_18|울부르반
p_village_19|하넌
p_village_20|우슬룸
p_village_21|바젝
p_village_22|슐루스
p_village_23|일비아
p_village_24|룰디
p_village_25|대쉬비가
p_village_26|파건더르
p_village_27|글룬마
p_village_28|태쉬 쿨런
p_village_29|뷜린
p_village_30|루바
p_village_31|엠빈
p_village_32|토스다르
p_village_33|룰런스
p_village_34|에일러다
p_village_35|페어리첸
p_village_36|제이예크
p_village_37|아다 쿨런
p_village_38|이비란
p_village_39|레베란
p_village_40|사렌
p_village_41|듀건
p_village_42|드라이 아반
p_village_43|자구시
p_village_44|페시미
p_village_45|블루거
p_village_46|페드너
p_village_47|에피쉬
p_village_48|베이다
p_village_49|티스미어
p_village_50|카린디
p_village_51|젤베기
p_village_52|아마시케
p_village_53|발란리
p_village_54|차이드
p_village_55|타드사메시
p_village_56|페나다
p_village_57|우시쿠루
p_village_58|베친
p_village_59|두마
p_village_60|탈벌
p_village_61|알델렌
p_village_62|레바치
p_village_63|르두나
p_village_64|세린디어
p_village_65|아이인다
p_village_66|피스드나
p_village_67|테반드라
p_village_68|입델레스
p_village_69|크윈
p_village_70|디리그세네
p_village_71|트쉽틴
p_village_72|엘벌
p_village_73|차에자
p_village_74|아이케
p_village_75|불라반
p_village_76|케델케
p_village_77|리지
p_village_78|사리미시
p_village_79|이스티니어
p_village_80|바예제그
p_village_81|오다산
p_village_82|야리브
p_village_83|기심
p_village_84|첼레즈
p_village_85|이스미랄라
p_village_86|슬레작
p_village_87|우디니아드
p_village_88|툴북
p_village_89|우훈
p_village_90|자미체
p_village_91|아인 아수아디
p_village_92|디베인
p_village_93|콸유트
p_village_94|마지그
p_village_95|탐누
p_village_96|하바
p_village_97|섹템
p_village_98|마위티
p_village_99|피샤라
p_village_100|이크발
p_village_101|우즈카
p_village_102|시벌 주머
p_village_103|미자예트
p_village_104|타주낫
p_village_105|아압
p_village_106|하와하
p_village_107|운리야
p_village_108|미트 눈
p_village_109|틸림살
p_village_110|러시 다이
p_salt_mine|소금 광산
p_four_ways_inn|네거리 여관
p_test_scene|시험용 맵
p_battlefields|전장
p_dhorak_keep|도락 성
p_training_ground|훈련소
p_training_ground_1|훈련장
p_training_ground_2|훈련장
p_training_ground_3|훈련장
p_training_ground_4|훈련장
p_training_ground_5|훈련장
p_steppe_bandit_spawn_point|약탈자 생성 지점
p_taiga_bandit_spawn_point|설원 도적 생성 지점
p_forest_bandit_spawn_point|숲 도적 생성 지점
p_mountain_bandit_spawn_point|산적 생성 지점
p_sea_raider_spawn_point_1|해적 생성 지점1
p_sea_raider_spawn_point_2|해적 생성 지점2
p_desert_bandit_spawn_point|사막 도적 생성 지점
