
pt_none|없음
pt_rescued_prisoners|구출된 포로
pt_enemy|적
pt_hero_party|영웅 부대
pt_village_defenders|마을 수비대
pt_cattle_herd|소 떼
pt_looters|약탈자
pt_manhunters|인간 사냥꾼
pt_steppe_bandits|초원 도적
pt_taiga_bandits|설원 도적
pt_desert_bandits|사막 도적
pt_forest_bandits|숲 도적
pt_mountain_bandits|산적
pt_sea_raiders|해적
pt_deserters|탈영병
pt_merchant_caravan|상인 마차
pt_troublesome_bandits|골칫거리 도적
pt_bandits_awaiting_ransom|몸 값을 기다리는 도적
pt_kidnapped_girl|납치된 소녀
pt_village_farmers|마을 농부
pt_spy_partners|평범한 여행자
pt_runaway_serfs|탈영 농노(추노)
pt_spy|평범한 시민
pt_sacrificed_messenger|희생된 전달자
pt_forager_party|약탈 부대
pt_scout_party|정찰 부대
pt_patrol_party|순찰 부대
pt_messenger_party|전달자
pt_raider_party|습격대
pt_raider_captives|납치범
pt_kingdom_caravan_party|왕국 상단부대
pt_prisoner_train_party|포로 운송 부대
pt_default_prisoners|체납한 죄인
pt_routed_warriors|약탈당한 적
pt_center_reinforcements|지원군
pt_kingdom_hero_party|전쟁 부대
pt_steppe_bandit_lair|초원 도적 소굴
pt_taiga_bandit_lair|설원 도적 소굴
pt_desert_bandit_lair|사막 도적 소굴
pt_forest_bandit_lair|숲 도적 야영지
pt_mountain_bandit_lair|산적 은신처
pt_sea_raider_lair|해적 나루터
pt_looter_lair|납치범의 은신처
pt_leaded_looters|약탈자 떼
