
qstr_Next_Page|다음 페이지
qstr_Game_Rules:^|게임 룰:^
qstr_0|0
qstr_Show_game_rules|게임 룰 보기
qstr_Continue...|계속...
qstr_Candidate_#1:_{s1}|지원자 #1: {s1}
qstr_Candidate_#2:_{s1}|지원자 #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}에 {s3}이(가) 가신회의에서 새로운 총사령관를 한 명 선택하기를 바라고 있습니다. 후보자는 {s1}와(과) {s2} 같습니다.
qstr_Who_do_you_wish_to_s|누구를 지원하겠습니까?
qstr_{s1}_gives_his_suppo|{s1}이(가) {s2}를 지원하였습니다.
qstr_Number_of_Supporters|지원병 수: {reg0}
qstr_{s2}_has_heard_his_v|{s2}은 가신회의로 부터 소식을 전해들었습니다. 회의는 결과는 {s3}의 총사령관로 {s1}가 선출되었습니다.
qstr_Action|행동
qstr_Mount|말에 올라타라
qstr_Attack_Type|공격 형태
qstr_Stand_Ground|정지!
qstr_Charge|돌격!
qstr_Follow_Me|나를 따르라!
qstr_Hold_This_Position|이 위치로!
qstr_Spread_Out|산개대형
qstr_Stand_Closer|밀집대형
qstr_Fall_Back|후퇴!
qstr_Advance|전진!
qstr_Dismount|말에서 내려라
qstr_Fire_At_Will|자유 사격
qstr_Hold_Your_Fire|사격 중지
qstr_Use_Blunt_Weapons|둔기만 사용해라(포로획득)
qstr_Use_Any_Weapon|주무기를 사용해라
qstr_Ready|대기
qstr_Wounded|부상
qstr_Dead|사망
qstr_Number_of_men_knocke|쓰러진 사람 수: {reg1}명
qstr_Number_of_men_left:_|남은 사람 수: {reg1}명
qstr_Opponents_Beaten:_{r|쓰러진 상대방 전사: {reg1}명
qstr_Opponents_Remaining:|남은 상대방 전사: {reg1}명
qstr_Remain_in_retirement|모험에서 은퇴한다.
qstr_Go_back_to_the_adven|모험을 계속한다.
qstr_You_have_retired_at_|당신은 {reg5}일 동안 모험을 하였고 레벨 {reg4}에 은퇴하였습니다.
qstr_Effect_on_Score|효과 점수
qstr_Settlements_owned_by|정착민들이 당신을 신뢰합니다: {reg0}
qstr_Friendly_Settlements|호의적인 정착민들: {reg0}
qstr_Hostile_Settlements:|적대적인 정착민들: {reg0}
qstr_Friendly_Lords:_{reg|호의적인 군주: {reg0}
qstr_Enemy_Lords:_{reg0}|적대적 군주: {reg0}
qstr_Victories:_{reg0}|승리: {reg0}
qstr_Defeats:_{reg0}|패배: {reg0}
qstr_Quests_Completed:_{r|퀘스트 완료: {reg0}
qstr_Companions_Found:_{r|합류한 영웅: {reg0}
qstr_Companions_Lost/Depa|상실/떠난 영웅: {reg0}
qstr_Wealth:_{reg0}_denar|재산: {reg0} 디나르
qstr_Inventory:_{reg0}_de|인벤토리: {reg0} 디나르
qstr_Renown:_{reg0}|명성: {reg0}
qstr_Experience:_{reg0}|경험치: {reg0}
qstr_Days_Passed:_{reg0}|보낸 일 수: {reg0}
qstr_Difficulty:_{reg0}%|난이도: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|총 점: {reg0}
qstr_None|없음
qstr_{s1}_of_{s3}_was_def|{s3}의 {s1}은(는) 전투에서 패배했으나 탈출에 성공했습니다.
qstr_{s54}_is_a_claimant_|{s54}은(는) {s56}의 왕위 계승자 입니다.
qstr_nowhere|미지의 장소
qstr_{s57}_and_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?그녀:그}
qstr_The_town_of_{s50}|{s50}
