infopagesfile version 1
22
ip_armies_size Army_Size The_size_of_your_army,_similar_to_the_armies_of_the_lords,_depends_on_several_factors:^^Leadership:_each_point_will_increase_the_maximum_size_of_your_army_by_5._Companions_with_Leadership_help_lead_the_party.^^Charisma:_each_point_of_your_charisma_will_increase_the_maximum_size_of_your_army_by_1._It_is_your_ability_to_attract_men_to_your_cause.^^Renown:_every_9_points_will_increase_the_maximum_size_of_your_army_by_1._Fame_attracts_followers.^^Holdings:_every_town_will_add_80_men_and_each_fort_40_to_the_maximum_size_of_your_army._These_spots_represent_men_you_can_raise_through_a_levy.^^Bear_in_mind_that_party_size_at_sea_is_restricted_by_ship_capacity._Extra_troops_can_always_be_left_at_a_settlement_garrison,_player_Refuge_(once_built),_or_any_Camp_Quarters.
ip_morale Morale Morale_represents_the_ability_and_willingness_of_the_troops_in_a_party_to_summon_up_the_endurance,_bravery,_and_discipline_they_need_to_face_the_stresses_of_battle_and_the_march._It_is_not_the_same_thing_as_the_troops'_happiness._Elite_troops_may_grumble_and_whine_about_the_hardships_of_campaigning_--_but_then_stand_together_as_one_when_the_arrows_start_to_fly._On_the_other_hand,_a_commander_who_gives_his_men_everything_they_want_may_find_that_they_grow_soft,_and_waiver_before_the_enemy's_charge.^^Morale's_greatest_impact_is_on_a_party's_behavior_in_battle,_determining_how_aggressively_troops_engage_the_enemy,_and_how_likely_they_are_to_break_and_run_if_they_perceive_the_tide_of_battle_turning_against_them._Morale_also_affects_a_party's_march_speed,_as_a_less_motivated_party_will_move_more_slowly,_as_the_men_are_not_pushing_themselves_to_their_physical_limit,_and_pause_more_frequently,_as_it_waits_for_stragglers_to_catch_up._Finally,_a_party_with_very_low_morale_will_start_to_suffer_desertions.^^Some_factors_that_affect_morale_are_intuitive._For_example,_a_charismatic_commander_with_a_reputation_for_winning_battles_can_infuse_his_or_her_men_with_a_sense_of_confidence._Leaders_who_give_their_men_well_ample_and_varied_supplies_of_food,_and_pay_them_on_time,_demonstrate_that_they_care_about_their_troops'_welfare_and_are_less_likely_to_lead_them_into_disaster.^^Other_factors_are_less_intuitive_--_particularly_those_related_to_a_party's_sense_of_group_cohesion._In_a_small_tight-knit_party,_for_example,_men_will_often_fight_hard_against_daunting_odds_to_avoid_showing_cowardice_before_their_comrades-in-arms._A_large_party_on_the_other_hand_may_see_its_cohesion_strained,_as_the_commander_has_less_time_to_supervise_the_men,_listen_to_their_grievances,_and_resolve_their_disputes._Frequent_battles_will_strengthen_the_bonds_between_men,_while_long_periods_without_combat_will_see_the_troops_become_bored_and_quarrelsome.^^The_morale_report,_accessible_by_hitting_the_'Party_Info'_button_on_the_'Character'_screen,_will_give_the_player_a_sense_of_the_factors_affecting_his_or_her_men's_morale.
ip_economy Economy Towns_and_villages_in_the_Northlands_need_a_wide_variety_of_goods_for_their_populations_to_remain_healthy_and_productive._First_in_importance_is_food._Grain_is_the_staple_crop_of_the_Northlands,_but_people_also_need_fat_and_protein_in_the_form_of_meat,_fish,_or_cheese._It_takes_almost_as_much_work_to_preserve_meat_as_to_produce_it_in_the_first_place,_so_salt_is_also_in_high_demand._After_food_comes_clothing:_heavy_wool,_lighter_linens,_or_luxurious_velvet._Finally,_people_need_the_tools_of_their_trade:_ironware,_pottery,_leatherware,_and,_of_course,_arms,_armor,_and_horses_for_war.^^Most_agricultural_products_are_produced_in_the_villages,_while_artisans_in_the_towns_specialize_in_manufactured_or_artisanal_goods_like_fabrics_or_ironware._Also,_different_resources_can_be_found_in_different_parts_of_the_country._Consequently,_the_key_to_prosperity_in_the_Northlands_is_trade_--_both_between_the_villages_and_the_towns,_and_between_the_major_towns_themselves.^^When_trade_flows,_goods_will_be_available_and_affordable,_the_population_of_a_settlement_will_be_healthy_and_energetic,_and_migrants_will_flock_from_the_nearby_regions._The_settlement_will_produce_more,_consume_more,_and_be_able_to_contribute_more_in_taxes_to_their_lords._When_trade_dries_up,_towns_and_villages_will_see_their_workers_flee_to_seek_work_elsewhere,_and_economic_activity_will_drift_to_a_stand-still._Thus,_it_is_in_the_interests_of_rulers_to_protect_trade_routes_from_the_hazards_of_war_and_banditry._A_smart_merchant,_however,_may_want_to_seek_out_towns_which_have_become_isolated_from_the_rest_of_the_land,_as_he_or_she_may_be_able_to_turn_a_tidy_profit_from_the_resulting_price_imbalances.^^Because_villagers_usually_plan_to_take_their_goods_to_market_in_towns,_village_markets_will_be_rather_quiet_places,_and_villagers_will_buy_cheap_and_sell_dear._Serious_merchants_will_stick_to_the_towns_to_make_a_profit,_although_some_parties_may_decide_to_make_a_quick_stop_in_a_village_to_acquire_supplies.^^A_player_who_wants_to_know_about_the_factors_affecting_a_region's_prosperity_can_speak_to_the_mayor_of_the_local_town._Other_information_can_be_gleaned_from_passers-by,_although_they_might_not_know_very_much_outside_of_their_own_particular_trade.
ip_courtship Courtship You_may_wish_to_marry_into_one_of_the_Northlands'_noble_families._Marriage_is_not_necessary_for_someone_to_rise_in_power_and_stature,_but_it_does_provide_them_with_an_opportunity_to_improve_their_relation_with_lords_and_establish_a_claim_to_the_throne.^^Marriage_requirements_will_be_different_for_males_and_females._A_male_character_will_usually_need_to_pursue_a_traditional_path_of_courtship._He_should_establish_a_reputation_in_aristocratic_society,_get_on_good_terms_with_his_bride's_parents_or_guardians,_and_then_woo_the_lady_according_to_local_custom._If_a_player_grows_impatient,_he_may_attempt_to_take_a_shortcut_--_but_there_will_be_consequences_in_his_relations_with_other_lords.^^A_male_character_should_keep_in_mind_that_other_lords_will_be_competing_with_him_for_the_affections_of_the_kingdom's_ladies._Also,_a_lady's_tastes_are_unpredictable,_and_a_player_may_also_find_that_the_object_of_his_love_does_not_love_him_in_return._Romance,_in_the_Northlands_as_elsewhere,_does_not_always_prosper._Of_course,_a_player_may_resort_to_other,_less_gentlemanly_means_of_winning_a_lady's_heart,_but_again,_that_will_have_a_serious_impact_on_his_reputation.^^To_get_started_on_the_path_of_courtship,_a_male_player_should_try_to_get_involved_in_the_social_life_of_the_aristocracy_of_the_Northlands,_attending_feasts_and_tournaments._Also,_wandering_troubadours_and_poets_can_serve_as_a_useful_repository_of_information_on_courtship,_and_keep_the_player_up_to_date_about_the_latest_gossip.^^Female_characters_can_also_marry_--_but_they_should_keep_in_mind_that_these_societies_are_very_traditional,_and,_as_adventurers,_they_have_chosen_a_very_unconventional_path_for_a_woman._A_female_character_may_have_to_look_for_a_while_to_find_a_lord_who_is_open-minded_enough_to_marry_her.^^On_the_bright_side,_a_female_character_does_not_have_to_go_through_the_elaborate_rituals_of_courtship,_and_she_also_may_gain_more_from_a_marriage_than_her_male_counterpart._For_a_woman_adventurer,_marriage_can_be_a_quick_path_to_power_--_and_an_unscrupulous_character_may_be_able_to_use_her_husband_as_a_tool_of_her_political_ambitions.
ip_politics Politics The_realms_of_the_Northlands,_although_they_represent_different_cultures,_all_shared_a_basic_political_system_that_preceded_feudalism._At_the_top_of_Germanic_social_hierarchy_was_the_king,_elected_by_a_council_of_noblemen_from_the_royal_house._All_the_land_of_the_realm_belonged_to_the_king,_who_distributed_it_among_the_aristocracy_and_the_warriors_who_had_performed_outstanding_deeds._This_land_however_did_not_become_their_property_and_in_case_of_death,_either_the_king_or_the_client,_returned_to_the_ruler._The_nobility_governed_each_shire_in_king's_name_with_the_responsibility_for_administration_and_justice,_raising_and_leading_the_levies_of_men_to_the_battlefield._For_this_purpose_they_divided_their_land_into_smaller_parcels_among_the_freemen_who_formed_the_backbone_of_the_rural_economy_of_the_kingdom._These_farmers_and_householders_paid_rent_to_their_overlord_and/or_had_several_duties_with_him,_such_as_building_fortifications_or_working_some_days_of_the_week_during_the_harvest-time.^^This_system_of_clientship_was_also_practised_between_nobles,_which_established_hierarchies_of_homage_and_political_support._The_increasingly_powerful_monasteries_were_autonomous_ecclesiastical_establishments_with_their_own_land_and_clients.^^A_distinctive_feature_of_the_Celtic_societies_(Gaelic,_Welsh_and_Pictish)_was_the_importance_of_the_corporate_lineage-group,_the_clan._A_large_group_of_related_people_supposedly_descended_from_one_common_ancestor,_acting_as_an_independent_social_and_legal_entity.^^When_one_realm_in_the_Northlands_makes_war_on_another,_the_political_unity_of_each_kingdom_is_as_important_as_the_quality_or_number_of_its_soldiers_in_determining_the_outcome._In_a_cohesive_kingdom,_nobles_will_join_together_in_a_large_force_to_sweep_their_opponents_before_them._In_a_kingdom_divided_by_petty_quarrels,_lords_will_fail_to_respond_to_the_marshal's_summons,_or_drift_away_to_attend_to_their_own_business_if_a_campaign_is_not_going_well._A_faction's_political_cohesion_will_also_impact_warfare_when_campaigns_are_not_in_progress._In_a_divided_faction,_lords_will_be_less_likely_to_join_together_on_raids_and_patrols_or_to_come_to_each_other's_defense.^^If_it_seems_nobles'_bickering_and_quarrels_are_self-defeating_when_the_enemy_is_just_around_the_corner,_keep_in_mind_that_ultimately,_a_noble's_loyalty_doesn't_belong_to_a_particular_faction_or_culture,_but_to_himself_and_to_his_family._If_a_noble_fears_that_his_faction_is_collapsing,_or_if_he_is_being_neglected_by_his_liege,_he_can_usually_find_a_reason_to_withdraw_his_oath_of_allegiance_and_change_sides._Players_should_keep_this_in_mind,_as_they_may_find_that_there_are_opportunities_to_turn_discontented_former_enemies_into_allies.
ip_character_backgrounds Character_Backgrounds A_player_character_in_the_Northlands_may_choose_to_come_from_a_variety_of_social_backgrounds._This_choice_will_affect_not_just_his_or_her_starting_skills_and_equipment,_but_also_the_course_of_his_or_her_career_as_an_adventurer.^^War_and_politics_in_the_Northlands_are_traditionally_dominated_by_male_aristocrats._A_nobleman_player_character_may_find_that_he_is_invited_into_this_'old_boys'_club'_fairly_quickly,_but_women_and_commoners_may_face_a_few_extra_hurdles_on_the_way._If_you_choose_to_start_the_game_as_a_male_nobleman,_you_can_think_of_it_as_the_'easy'_setting._Starting_as_a_noblewoman_or_a_male_commoner_is_somewhat_more_difficult,_and_starting_as_a_female_commoner_is_probably_the_most_challenging_way_to_begin_a_game.^^However,_women_have_some_starting_advantages._Simply_by_taking_up_arms,_a_female_warrior_will_draw_attention_to_herself,_and_she_may_find_that_she_can_build_up_her_reputation_faster_than_a_male._Also,_it_is_traditionally_easier_for_a_woman_to_marry_up_the_social_ladder_than_it_is_for_a_man,_and_a_woman_may_find_she_can_gain_more_from_a_strategic_marital_alliance_than_her_male_counterpart.^^Finally,_keep_in_mind_that_the_game_does_not_place_any_limits_on_the_upward_mobility_of_characters_based_on_their_background._Noble_or_common,_male_or_female,_married_or_unmarried_--_anyone_can_rise_to_become_ruler_of_all_the_Northlands,_if_they_are_sufficiently_brave,_lucky,_or_resourceful.
ip_military_campaigns Military_Campaigns When_kingdoms_in_the_Northlands_go_to_war,_their_armies_have_two_basic_offensive_options._They_can_try_to_attack_villages_and_lay_waste_to_the_countryside,_damaging_their_enemy's_prestige_and_economy._Or,_they_can_try_to_seize_and_hold_castles_or_towns,_taking_territory._The_second_option_can_involve_long,_bloody_sieges,_but_will_yield_more_decisive_results.^^It_is_important_to_note_that_the_realms_of_the_Northlands_do_not_field_standing_armies,_which_remain_in_the_field_as_long_as_the_ruler_desires._Rather,_the_realms_of_the_Northlands_are_protected_by_the_nobles,_their_companions,_and_the_feudal_levies_they_raise.__Sometimes,_these_nobles_launch_their_own_private_attacks_into_enemy_territory,_but_the_most_decisive_events_will_usually_take_place_when_the_great_hosts_are_assembled._The_kingdom's_marshal,_a_noble_appointed_by_the_king,_will_summon_the_host_before_the_campaign_and_lead_them_out_to_battle._However,_he_should_be_careful_not_to_keep_them_in_the_field_for_too_long._Otherwise,_the_host_will_begin_to_disintegrate,_as_the_vassals_drift_off_to_pursue_their_own_business,_and_the_army_will_be_vulnerable_to_a_counter-attack.^^For_this_reason,_the_rhythm_of_wars_in_the_Northlands_often_resemble_the_rhythm_of_a_duel_between_two_individual_combatants._One_side_will_gather_its_strength_and_seek_to_land_a_blow_against_the_enemy's_territory._If_the_marshal_spends_too_little_time_gathering_the_vassals,_he_may_not_be_able_to_do_any_real_damage._If_he_spends_too_much_time,_then_the_campaign_may_end_before_it_has_even_begun._A_large_realm_will_have_an_advantage_over_a_smaller_one,_just_as_a_brawny_combatant_has_an_edge_over_a_smaller_foe,_but_a_realm's_political_cohesion_can_also_be_a_factor,_just_as_a_fighter_with_great_stamina_can_outlast_her_opponent._Sometimes,_the_armies_of_two_realms_will_meet_head_on,_resulting_in_a_major_battle_in_which_both_numbers_and_morale_will_decide_the_outcome.^^Kingdoms_will_have_imperfect_intelligence_about_their_enemies._Attacking_lords_will_need_to_frequently_scout_enemy_territory_to_determine_which_fortresses_may_be_vulnerable._An_army_defending_its_homeland_will_benefit_from_the_alarms_raised_by_castles_and_towns,_which_broadcast_intelligence_about_enemy_movements_in_the_area._Such_intelligence_will_be_imprecise,_however,_particularly_when_it_comes_to_numbers._A_defending_force_which_sets_out_to_raise_a_siege_or_rescue_a_village_may_be_able_to_overwhelm_an_unprepared_attacker_--_or_it_may_miscalculate,_and_find_that_it_is_the_one_to_be_overwhelmed._Attackers,_in_turn,_must_be_careful_how_far_they_advance_into_enemy_territory,_with_aggressive_marshals_venturing_further_than_cautious_ones.^^Players_will_be_expected_to_join_in_their_faction's_military_campaign,_either_by_joining_the_host,_or_by_scouting_ahead_into_enemy_territory._Some_players_may_find_that_their_realm's_marshal_is_too_cautious,_or_too_aggressive,_for_their_tastes._In_this_case,_they_can_intrigue_with_other_lords_to_try_to_replace_the_marshal,_or_build_support_to_become_the_marshal_themselves.^^Most_wars_are_of_limited_duration._A_king_who_goes_to_war_will,_for_the_sake_of_honor,_feel_obligated_to_pursue_the_conflict_for_a_short_while._However,_unless_he_is_soundly_beating_his_enemy,_he_may_soon_start_looking_for_a_way_out_of_the_conflict,_lest_he_leave_himself_vulnerable_to_an_attack_by_a_third_party._The_Northlands'_rulers_are_keenly_aware_that_today's_ally_may_be_tomorrow's_enemy,_and_vice_versa.
ip_siege_warfare Siege_Warfare Viking_Conquest_offers_siege_warfare_accurate_to_the_Dark_Ages_period._When_the_player_besieges_a_settlement,_two_paths_can_be_taken_to_conquer_the_place:_by_debilitation_(hunger,_diseases_...)_or_by_assault.^^In_the_former_case,_the_player's_goal_is_to_blockade_the_settlement_and_prevent_it_from_receiving_supplies_or_reinforcements._At_the_same_time_various_actions_can_be_performed_to_undermine_morale,_spread_disease_or_destroy_the_food_reserves_of_the_settlement._This_type_of_action_will_take_longer,_but_also_avoid_a_large_number_of_casualties.^^In_the_latter_case,_direct_action_is_undertaken,_provided_assault_equipment_is_available_or_preparatory_actions_have_been_taken,_such_as_wearing_down_the_defenders_or_burning_their_houses_and_walls._This_option_should_be_used_when_the_player_feels_ready_to_launch_a_full-scale_assault_to_conquer_the_settlement._It_has_the_advantage_of_leading_to_success_more_quickly,_but_usually_at_a_relatively_high_cost_in_lives.^^In_addition,_when_the_settlement_has_a_port,_the_player_may_equip_a_fleet_and_assault_the_port,_leading_an_assault_from_the_sea.^^The_complexity_and_characteristics_of_the_new_siege_system_are_too_numerous_to_describe_here_in_detail._The_best_thing_is_to_discover_and_develop_strategies_on_your_own.
ip_sea_travel Sea_Travel Ferries_on_the_world_map_transport_your_party_between_two_stations._While_this_is_cheap_when_your_party_is_small,_it_becomes_more_expensive_with_party_size.^^To_travel_longer_distances_on_the_sea,_one_may_travel_from_one_port_town_to_another._This_can_be_initiated_from_the_town_menu_or_by_talking_to_the_shipwright_in_the_port_part_of_the_town_scene._Similar_to_ferries,_this_service_becomes_more_expensive_with_party_size.^^Once_you_have_your_own_ship,_you_may_embark_from_the_port_it_is_in_by_clicking_on_'Sail_from_port'_in_the_town_menu._You_will_return_to_the_map,_but_this_time_at_sea_on_your_ship._Sea_travel_then_works_much_like_land_travel.^^There_are_two_different_ways_to_get_back_on_land._You_can_either_click_on_a_port_or_use_a_landing_point._To_find_a_landing_point,_travel_closely_along_the_coast_or_right_click_on_your_party_and_select_'find_closest_landing_point.'_As_with_ports,_click_on_the_landing_point_to_disembark._In_either_case,_your_ships_will_remain_at_the_position_where_you_landed.^^If_your_party's_size_is_greater_than_the_capacity_of_your_ships,_you_won't_be_able_to_embark._In_this_case,_you_can_establish_troop_quarters_(Camp_menu)_at_your_current_position_and_another_troop_quarters_at_your_target_position,_then_transport_your_army_step_by_step_between_both_quarters.^^When_traveling_by_sea_on_the_campaign_map,_you_can_always_check_the_current_weather._After_clicking_on_the_'Camp'_button,_current_conditions_are_shown_on_the_left_side._If_the_weather_conditions_change,_you_will_be_notified_by_a_message_in_the_lower_left_corner_of_the_screen.^^On_the_one_hand,_windy_weather_is_good_for_the_speed_of_your_ships_on_the_campaign_map_and_in_sea_battles._On_the_other_hand,_the_chance_that_it_will_damage_your_ships_also_increases._Damage_worsens_the_condition_of_a_ship,_slowing_it_or_even_destroying_when_the_condition_reaches_'Dangerous.'_You_may_check_the_conditions_of_your_ships_by_clicking_on_'Camp'_and_then_on_'Fleet.'^^Finally,_the_weather_also_determines_the_behaviour_of_ships_in_battle._This_can_always_be_checked_beforehand_by_clicking_'Camp'_and_then_on_'Check_location.'^^Sea_travel_is_dangerous_and_can_lower_the_morale_of_your_troops._When_this_happens,_you_will_be_notified_by_a_message._Troops_especially_dislike_spending_the_night_on_the_water._Therefore,_consider_plotting_your_route_to_make_landfall_by_night._If_morale_on_the_sea_gets_too_low,_troops_may_mutiny.^^Some_troops_like_Sailors_and_certain_Norse_troops_are_experienced_seamen_and_will_increase_the_travel_speed_of_your_ships_on_the_campaign_map._You_can_check_the_effect_on_the_left_side_of_the_camp_menu.^^If_there_is_more_than_one_ship_in_your_fleet,_the_speed_of_the_fleet_is_determined_by_its_slowest_ship._However,_as_soon_as_you_have_more_than_one_ship_in_your_fleet,_you_can_split_the_fleet._To_do_so,_travel_close_to_a_shore._Then_click_on_'Camp',_'Fleet'_and_finally_on_'Leave_ship_at_shore'_to_leave_the_slower_ship(s)_there._To_bring_ships_together_again,_one_needs_to_bring_them_all_to_a_port._To_get_a_overview_of_all_your_ships_at_their_location,_click_on_'Character'_and_then_on_'Ships.'
