dlga_start:blocked_agent|这 人 看 起 来 很 忙 ， 也 许 我 还 是 继 续 上 路 的 好 …… 
dlga_blocked_agent:close_window|对 不 起 ， 我 不 是 有 意 打 断 你 的 。
dlga_blocked_agent:close_window.1|[离 开 ]
dlga_dog_talk_2:close_window|跟 上 我 ！
dlga_dog_talk_2:close_window.1|去 吧 ， {s1} ， 去 吧 ！ 
dlga_dog_talk_2:close_window.2|{s1} ， 停 下 ！ 
dlga_dog_talk_2:dog_talk_pretrain|来 ， 我 有 些 东 西 给 你 …… 
dlga_dog_talk_2:close_window.3|我 会 叫 你 …… 
dlga_dog_talk_2:close_window.4|坏 狗 狗 ！ 走 开 ！ 我 不 要 你 了 ！ 
dlga_dog_talk_2:close_window.5|扔 下 ！ 
dlga_start:dog_talk_recruit| 
dlga_dog_talk_recruit:dog_talk_1|来 ， 给 你 一 根 火 腿 ！ 
dlga_dog_talk_recruit:close_window|好 孩 子 ！ 
dlga_dog_talk_recruit:close_window.1|走 开 ！ 
dlga_dog_talk_pretrain:dog_talk_train|来 ， 我 有 些 东 西 给 你 …… 
dlga_dog_talk_train:dog_talk_pretrain|你 看 起 来 气 色 不 好 。 来 ， 我 给 你 一 个 {s7} ！ 
dlga_dog_talk_train:dog_talk_pretrain.1|来 ， 这 个 {s7} 会 让 你 更 强 壮 ！ 
dlga_dog_talk_train:dog_talk_pretrain.2|我 想 让 你 结 实 些 。 这 些 {s7} 对 你 有 好 处 ！ 
dlga_dog_talk_train:dog_talk_pretrain.3|你 太 瘦 了 ， 来 ， 我 给 你 些 {s7} ！ 
dlga_dog_talk_train:dog_talk_pretrain.4|我 的 朋 友 ， 你 能 跑 得 更 快 。 这 些 {s7} 是 给 你 的 ！ 
dlga_dog_talk_train:dog_talk_pretrain.5|拿 这 些 {s7} 磨 磨 牙 ！ 
dlga_dog_talk_train:dog_talk_1|我 没 有 食 物 给 你 了 。 
dlga_dog_talk_train:dog_talk_1.1|今 天 就 这 么 多 吧 。 
dlga_start:close_window.1|你 去 看 看 你 的 母 亲 ， 给 她 打 点 些 东 西 让 她 安 心 上 路 。 
dlga_start:close_window.2|我 在 等 某 个 人 ， 他 与 一 个 女 孩 同 行 ， 你 见 过 他 们 吗 ？ 
