menu_start_game_0|欢 迎 来 到 维 京 征 服 世 界（游 戏 版 本 V2.036） 。
mno_continue_i|继 续 ...
mno_continue_cheat|跳 过 教 程 。
mno_go_back_dot|后 退 。
menu_start_game_3|选 择 剧 本 
mno_go_back|后 退 
menu_tutorial|你 进 入 了 训 练 场 ， 不 少 当 地 人 都 在 里 面 进 行 着 武 器 的 训 练 。 在 这 里 你 可 以 通 过 各 种 训 练 来 提 高 你 的 战 斗 技 巧 。 
mno_continue|继 续 ...
menu_reports|角 色 声 望 ： {reg5}^ 荣 誉 级 别 ： {reg6}^ 部 队 士 气 ： {reg8}^ 部 队 上 限 ： {reg7}^ 
mno_resume_travelling|继 续 旅 程 。 
menu_start_phase_2x|后 退 
mno_town_4|继 续 
menu_custom_battle_end|战 斗 结 束 ， 在 这 场 战 斗 中 ， {s1}你 的 队 伍 杀 死 了 {reg5}人 ， 敌 人 的 队 伍 杀 死 了 {reg6} ， 你 杀 死 了 {reg7}人 。 
menu_start_game_2|欢 迎 来 到 维 京 征 服 世 界 
menu_start_game_1|欢 迎 来 到 维 京 征 服 世 界 
menu_start_game_11|退 出 ？ 
menu_start_game_4|你 已 经 做 出 了 一 些 选 择 。你 在 冒 险 开 始 后 将 无 法 改 变 。你 仍 然 坚 持 你 的 选 择 开 始 你 的 冒 险 吗 ？ 
menu_camp|营 地 已 经 建 好 了 ， 你 想 要 做 什 么 ？ 
mno_camp_action|干 点 事 情 。 
mno_camp_wait_here|在 这 里 待 一 会 儿 。 
menu_camp_action_rest|扎 营 允 许 你 的 士 兵 从 长 途 跋 涉 中 得 到 休 息 ， 也 允 许 你 搜 寻 食 物 来 补 充 库 存 粮 草 。 这 一 点 在 你 进 入 敌 人 领 地 时 非 常 有 用 ， 因 为 你 将 难 以 购 买 补 给 。 
menu_build_refuge_new|你 的 士 兵 等 待 你 下 令 开 始 建 立 避 难 所 。现 在 有 足 够 的 材 料 ，并 且 缺 失 的 材 料 可 以 在 附 近 村 庄 购 买 。^^总 成 本 ：1000 先 令 。^ 需 要 时 间 ：6 小 时 。
mno_refuge_here|是 的 。 
menu_camp_cheat|选 择 作 弊 项 目 ： 
mno_camp_cheat_find_item|查 找 一 件 物 品 ……
mno_testing_cheats|使 用 作 弊 代 码 。 
mno_back_to_camp_menu|回 到 宿 营 菜 单 。 
menu_cheat_testing_cheats1|选 择 一 个 作 弊 效 果 。 
menu_storyline_cheat|选 择 一 项 作 弊 ： 
mno_back_cm|后退 。
menu_camp_action|选 择 你 要 做 的 事 ： 
mno_toggle_cheat_on|作 弊 目 录 开 启 。
mno_toggle_cheat_off|作 弊 目 录 关 闭 。
mno_camp_action_4|退 回 营 地 菜 单 。 
menu_camp_recruit_prisoners|你 答 应 这 些 俘 虏 ， 如 果 他 们 加 入 你 的 话 ， 你 就 给 予 他 们 自 由 。 {s18}
mno_camp_recruit_prisoners_accept|接 受 。 
mno_camp_recruit_prisoners_half|招 降 一 半 。 
mno_camp_recruit_prisoners_reject|拒 绝 。 
menu_camp_no_prisoners|你 没 有 俘 虏 可 以 招 降 。 
menu_camp_action_read_book|选 一 本 书 读 ： 
menu_retirement_verify|现 在 总 共 冒 险 的 时 间 是 {reg0}天 ， 运 气 是 {reg1} 。 你 确 实 想 要 从 这 场 冒 险 中 退 出 吗 ？ 
mno_retire_yes|是 的 。 
mno_retire_no|不 。 
menu_end_game|去 意 已 决 ， 你 决 定 放 弃 冒 险 者 的 生 活 ， 并 定 居 下 来 。 你 卖 掉 了 所 有 的 武 器 与 护 甲 ， 收 拾 起 行 囊 ， 策 马 奔 向 夕 阳 的 余 辉 之 中 。。。。
mno_end_game_bye|再 会 。 
menu_cattle_herd|你 遇 到 了 一 群 牛 。 
mno_cattle_drive_away|驱 赶 他 们 。
mno_cattle_stop|让 牛 群 停 下 休 息 。 
mno_cattle_kill|屠 宰 其 中 的 一 些 。 
mno_leave|离 开 
menu_cattle_herd_kill|你 想 屠 宰 几 头 ？ 
mno_cattle_kill_1|一 。 
mno_cattle_kill_2|二 。 
mno_cattle_kill_3|三 。 
mno_cattle_kill_4|四 。 
mno_cattle_kill_5|五 。 
mno_cattle_kill_20|二 十 。
menu_arena_duel_fight|决 斗 是 件 非 常 严 肃 的 事 情 ， 尤 其 是 到 一 方 死 亡 为 止 。 两 个 人 进 入 决 斗 场 ， 但 是 只 有 一 个 可 以 走 出 来 … ^^身 心 要 同 时 对 压 力 和 危 机 做 出 反 应 。 你 感 觉 你 的 腋 下 在 出 冷 汗 ， 那 种 出 汗 的 感 觉 和 冷 热 完 全 无 关 ， 那 是 战 斗 的 汗 水 ， 同 时 预 示 着 … 你 已 经 准 备 好 了 。 
menu_simple_encounter|{s2}你 将 以 {reg10}人 的 部 队 迎 战 对 手 {reg11}人 。 ^^{s7}
mno_playerambush_attack|被 伏 击 ！ 
mno_ambush_attack|伏 击 敌 人 ！
mno_encounter_attack|{s7}向 敌 人 发 起 冲 锋 ！ 
mno_encounter_deploy|战 斗 开 始 后 坚 守 阵 地 。 
mno_encounter_order_attack|坐 镇 指 挥 ， 让 你 的 部 队 进 攻 。 
mno_tactical_nuevo|指 挥 官 的 选 择 。 
mno_encounter_leave|离 开 。 
mno_encounter_retreat|以 留 下 少 量 部 队 掩 护 为 代 价 撤 退 。 
mno_encounter_surrender|投 降 。 
menu_encounter_retreat_confirm|队 员 中 最 高 战 术 技 能 为 {reg2}级 ， 因 此 {reg3?你 制 定 :{s3}制 定 }了 一 个 计 划 ， 允 许 你 和 大 部 分 士 兵 可 以 无 损 地 撤 退 ， 但 是 你 必 须 牺 牲 {reg4}个 战 士 来 阻 止 敌 人 追 击 。 
mno_leave_behind|实 行 计 划 ， 牺 牲 那 些 士 兵 ， 拯 救 剩 下 的 部 队 。
mno_dont_leave_behind|不 ， 我 们 不 会 牺 牲 任 何 一 个 战 友 。 
menu_encounter_retreat|你 命 令 {reg4}名 战 士 负 责 在 大 部 队 撤 退 的 时 候 拖 住 敌 人 前 进 的 步 伐 。 
menu_order_attack_begin|你 的 部 队 已 经 做 好 了 战 斗 准 备 。 
mno_order_attack_begin|下 令 攻 击 。 
mno_call_back|后 撤 。 
menu_order_attack_2|{s4}^^ 我 军 人 员 伤 亡 ： {s8}^^ 敌 军 人 员 伤 亡 ： {s9}
mno_order_attack_continue|继 续 攻 击 。 
mno_order_retreat|让 你 的 士 兵 撤 回 来 。 
menu_battle_debrief|{s11}^^我 军 伤 亡 ： {s8}{s10}^^敌 军 伤 亡 ： {s9}
menu_total_victory|你 不 该 看 这 个 ……{s9}
menu_pre_join|你 遇 到 {s2}正 在 攻 击 {s1} ， 你 决 定 ……
mno_pre_join_help_attackers|对 {s2}施 以 援 手 。 
mno_pre_join_help_defenders|对 {s1}施 以 援 手 。 
mno_pre_join_leave|不 卷 入 纷 争 。 
menu_join_battle|你 决 定 帮 助 {s2}对 抗 {s1} ， 你 将 有 {reg10}名 士 兵 参 加 战 斗 对 抗 {reg11}个 敌 人 。 
mno_join_attack|攻 入 敌 阵 ！ 
