str_yes|是 
str_no|否 
str_blank_string| 
str_noone|无 人 
str_s50_and_s51|{s50}和 {s51}
str_s52_and_s51|{s52}和 {s51}
str_s5_s_party|{s5}的 部 队 
str_given_by_s1_at_s2|{s2}的 {s1}给 予 
str_given_by_s1_in_wilderness|野 外 的 {s1}给 予 
str_s7_raiders|{s7}掠 夺 者 
str_bandits_eliminated_by_another|难 对 付 的 强 盗 被 别 的 队 伍 消 灭 了 。 
str_msg_battle_won|战 斗 胜 利 ！ 你 的 敌 人 被 屠 杀 ( 按 TAB键 离 开 )
str_tutorial_map1|你 现 在 处 于 地 图 模 式 中 。 在 地 图 上 按 左 键 可 以 旅 行 / 进 入 镇 子 / 或 与 其 他 队 伍 遭 遇 。 如 果 你 的 队 伍 停 止 不 动 ， 时 间 不 会 流 逝 。 如 果 你 想 在 某 处 等 待 ， 按 住 空 格 键 一 直 不 动（ 再 按 住 Ctrl键 可 以 使 时 间 加 速 流 逝） 。 ^这 是 存 档 的 好 时 机 ！ 按 ESC键 然 后 选 择 保 存 ， 也 可 以 按 F12来 快 速 存 档 ^^欢 迎 来 到 维 京 征 服 世 界 ！ 
str_tutorial_map11|现 在 你 拥 有 一 支 强 大 的 军 队 ， 返 回 雅 尔 处 获 得 下 一 步 的 指 示 。 
str_randomize|随 机 
str_charge|填 充 
str_color|颜 色 
str_flip_horizontal|水 平 翻 转 
str_flip_vertical|垂 直 翻 转 
str_hold_fire|停 止 射 击 
str_blunt_hold_fire|钝 器 / 停 止 射 击 
str_tutorial_ammo_refilled|填 满 弹 药 。 
str_tutorial_failed|你 失 败 了 。 不 过 不 要 紧 。 小 心 地 跟 着 提 示 去 做 ， 你 就 能 在 下 一 次 完 成 得 更 好 。 现 在 请 按 “ TAB ” 键 来 回 到 菜 单 ， 并 重 新 开 始 教 程 。 
str_tutorialmq_1_msg_1|你 将 在 本 教 程 中 学 习 移 动 、互 动 和 战 斗 的 基 础 知 识 。^^在 维 京 征 服 世 界 中 ， 你 使 用 鼠 标 来 控 制 你 观 看 的 方 向 ， 和 W ， A ， S ， 和 D 键 来 移 动 。你 的 第 一 个 任 务 是 ... ^^ 目 标 ：前 往 船 中 心 。 
str_tutorialmq_1_msg_2|干 得 好 。 接 着 我 们 将 会 说 明 如 何 与 物 品 和 人 物 互 动 。 在 你 附 近 ， 有 一 个 叫 博 多 的 男 人 。 如 果 你 想 找 到 一 个 人 ， 请 移 动 到 该 角 色 前 使 名 字 框 弹 出 。 当 你 找 到 博 多 时 ， 按 F键 与 其 谈 话。 ^^使 用 F键 可 以 与 人 物 和 场 景 物 品 互 动。 你 可 以 进 行 打 开 门 、 箱 子 或 捡 起 物 品 等 动 作。 ^^目 标 ： 与 博 多 谈 话 。 
str_tutorialmq_1_msg_3|漂 亮 。 然 后 ， 我 们 将 进 行 武 器 的 教 学 。 ^^将 鼠 标 滚 轮 向 上 滚 动 ， 或 者 使 用 小 键 盘 中 相 对 应 的 数 字 键 ， 你 可 以 切 换 武 器 栏 中 的 不 同 武 器 。 ^^点 击 鼠 标 左 键 ， 你 将 使 用 当 前 武 器 进 行 攻 击 。 按 住 鼠 标 左 键 不 放 以 准 备 攻 击 ， 然 后 松 开 以 施 展 攻 击 。 如 果 你 在 施 展 攻 击 前 按 住 鼠 标 的 时 间 更 长 ， 那 么 你 的 攻 击 则 会 更 强 。 ^^鼠 标 滚 轮 向 下 滚 动 或 者 使 用 数 字 键 盘 ， 可 以 取 出 或 收 下 盾 牌 。 ^^目 标 ： 与 老 兵 谈 话 ， 练 习 格 斗 。 
str_tutorialmq_1_msg_4|干 得 好 ！ 你 现 在 掌 握 了 维 京 征 服 的 基 本 概 念 。 现 在 你 可 以 进 行 探 索 、 与 NPC进 行 交 谈 、 在 船 上 战 斗 ， 或 者 ， 当 你 准 备 好 的 时 候 ， 和 船 长 交 谈 来 继 续 你 的 冒 险 。
str_finished| （ 完 成） 
str_delivered_damage|施 加 了 {reg60}点 伤 害 。 
str_archery_target_hit|距 离 ： {reg61}码 。 得 分 ： {reg60}
str_use_baggage_for_inventory|在 战 斗 中 你 的 行 李 在 你 开 始 的 地 方 ， 通 过 行 李 打 开 你 的 物 品 栏 。 
str_cant_use_inventory_now|不 能 在 这 里 打 开 物 品 栏 。 
str_cant_use_inventory_arena|不 能 在 这 里 打 开 物 品 栏 。 
str_cant_use_inventory_disguised|不 能 在 伪 装 时 打 开 物 品 栏 。 
str_cant_use_inventory_tutorial|在 训 练 营 不 能 打 开 物 品 栏 。 
str_1_denar|1先 令 
str_reg1_denars|{reg1}先 令 
str_january_reg1_reg2|{reg2}年 1月 {reg1}日 
str_february_reg1_reg2|{reg2}年 2月 {reg1}日 
str_march_reg1_reg2|{reg2}年 3月 {reg1}日 
str_april_reg1_reg2|{reg2}年 4月 {reg1}日 
str_may_reg1_reg2|{reg2}年 5月 {reg1}日 
str_june_reg1_reg2|{reg2}年 6月 {reg1}日 
str_july_reg1_reg2|{reg2}年 7月 {reg1}日 
str_august_reg1_reg2|{reg2}年 8月 {reg1}日 
str_september_reg1_reg2|{reg2}年 9月 {reg1}日 
str_october_reg1_reg2|{reg2}年 10月 {reg1}日 
str_november_reg1_reg2|{reg2}年 11月 {reg1}日 
str_december_reg1_reg2|{reg2}年 12月 {reg1}日 
str_town_nighttime|现 在 是 深 夜 ， 街 上 冷 清 清 的 。 
str_door_locked|门 锁 上 了 。 
str_castle_is_abondened|看 来 这 是 一 座 无 主 的 堡 垒 。 
str_town_is_abondened|镇 子 无 人 驻 防 。 
str_place_is_occupied_by_player|这 里 被 你 自 己 的 部 队 把 守 着 。 
str_place_is_occupied_by_enemy|这 里 被 敌 人 把 守 着 。 
str_place_is_occupied_by_friendly|这 里 被 友 军 把 守 着 。 
str_do_you_want_to_retreat|你 确 定 要 撤 退 吗 ？ 
str_give_up_fight|放 弃 战 斗 ？ 
str_do_you_wish_to_leave_tutorial|你 想 要 离 开 教 程 吗 ？ 
str_do_you_wish_to_surrender|你 想 投 降 吗 ？ 
str_can_not_retreat|不 能 撤 退 ！ 附 近 有 敌 人 。 
str_s1_joined_battle_enemy|敌 方 {s1}加 入 战 斗 。 
str_s1_joined_battle_friend|我 方 {s1}加 入 战 斗 。 
str_entrance_to_town_forbidden|这 里 的 守 卫 正 在 搜 寻 敌 人 ， 你 没 法 轻 易 从 大 门 溜 进 去 。 
str_sneaking_to_town_impossible|这 里 的 守 卫 警 惕 性 很 高 ， 不 管 你 怎 么 伪 装 都 没 法 溜 进 去 。 
str_battle_won|你 赢 得 了 这 场 战 斗 ！ 
str_battle_lost|你 输 掉 了 这 场 战 斗 ！ 
str_attack_walls_success|在 一 阵 浴 血 战 斗 之 后 ， 你 士 兵 奋 勇 攻 下 了 城 头 。 
str_attack_walls_failure|你 的 守 城 士 兵 在 一 波 又 一 波 的 攻 击 中 坚 持 到 了 最 后 一 个 人 。 
str_attack_walls_continue|浴 血 的 战 斗 展 现 了 双 方 的 英 勇 。 尽 管 你 的 战 士 很 努 力 ， 城 堡 上 还 是 飘 着 敌 人 的 旗 子 。 
str_order_attack_success|你 的 士 兵 奋 勇 击 退 了 敌 人 。 
