itm_no_item|INVALID ITEM{***}
itm_no_item_pl|INVALIDITEM
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|木 棒 
itm_tutorial_club_pl|木 棒 
itm_tutorial_battle_axe|长 战 斧 
itm_tutorial_battle_axe_pl|长 战 斧 
itm_tutorial_arrows|箭 
itm_tutorial_arrows_pl|箭 
itm_tutorial_bolts|弩 箭 
itm_tutorial_bolts_pl|弩 箭 
itm_tutorial_short_bow|长 弓 
itm_tutorial_short_bow_pl|长 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|标 枪 
itm_tutorial_throwing_daggers_pl|标 枪 
itm_tutorial_saddle_horse|带 鞍 矮 种 马 
itm_tutorial_saddle_horse_pl|带 鞍 矮 种 马 
itm_tutorial_shield|练 习 圆 盾 
itm_tutorial_shield_pl|练 习 圆 盾 
itm_tutorial_staff_no_attack|训 练 棍 
itm_tutorial_staff_no_attack_pl|训 练 棍 
itm_tutorial_staff|训 练 棍 
itm_tutorial_staff_pl|训 练 棍 
itm_tutorial_sword|训 练 剑 
itm_tutorial_sword_pl|训 练 剑 
itm_tutorial_axe|训 练 斧 
itm_tutorial_axe_pl|训 练 斧 
itm_tutorial_dagger|训 练 刀
itm_tutorial_dagger_pl|训 练 刀 
itm_horse_meat|马 肉 
itm_horse_meat_pl|马 肉 
itm_practice_sword|平 民 剑 
itm_practice_sword_pl|平 民 剑 
itm_heavy_practice_sword|戈 伊 德 尔 冠 军 剑 
itm_heavy_practice_sword_pl|戈 伊 德 尔 冠 军 剑 
itm_practice_dagger|刀 
itm_practice_dagger_pl|刀 
itm_practice_axe|斧 
itm_practice_axe_pl|斧 
itm_arena_axe|短 斧 
itm_arena_axe_pl|短 斧 
itm_arena_sword|平 民 剑 
itm_arena_sword_pl|平 民 剑 
itm_arena_sword_two_handed|戈 伊 德 尔 冠 军 剑 
itm_arena_sword_two_handed_pl|戈 伊 德 尔 冠 军 剑 
itm_arena_lance|矛 
itm_arena_lance_pl|矛 
itm_practice_staff|权 杖 
itm_practice_staff_pl|权 杖 
itm_practice_lance|矛 
itm_practice_lance_pl|矛 
itm_practice_shield|练 习 盾 
itm_practice_shield_pl|练 习 盾 
itm_practice_bow|长 弓 
itm_practice_bow_pl|长 弓 
itm_practice_crossbow|吊 索 
itm_practice_crossbow_pl|吊 索 
itm_practice_javelin|标 枪 
itm_practice_javelin_pl|标 枪 
itm_practice_javelin_melee|标 枪 
itm_practice_javelin_melee_pl|标 枪 
itm_practice_throwing_daggers|标 枪 
itm_practice_throwing_daggers_pl|标 枪 
itm_practice_throwing_daggers_100_amount|标 枪 
itm_practice_throwing_daggers_100_amount_pl|标 枪 
itm_practice_horse|带 鞍 矮 种 马 
itm_practice_horse_pl|带 鞍 矮 种 马 
itm_practice_arrows|箭 
itm_practice_arrows_pl|箭 
itm_practice_bolts|吊 索 岩 
itm_practice_bolts_pl|吊 索 岩 
itm_practice_arrows_10_amount|箭 
itm_practice_arrows_10_amount_pl|箭 
itm_practice_arrows_100_amount|箭 
itm_practice_arrows_100_amount_pl|箭 
itm_practice_bolts_9_amount|练 习 弩 箭 
