p_zendar|Zendar{***}
p_town_1|坎 特 伯 雷 
p_town_2|切 本 哈 姆 
p_town_3|爱 丁 堡 
p_town_4|里 伯 
p_town_5|顿 士 伯 格 
p_town_6|敦 巴 顿 
p_town_7|都 柏 林 
p_town_8|锡 伦 要 塞 
p_town_9|戴 夫 堡 
p_town_10|约 维 克 
p_town_11|杜 里 斯 特 
p_town_12|伦 敦 威 克 
p_town_13|安 格 尔 西 
p_town_14|杜 威 克 
p_town_15|斯 昆 
p_town_16|维 坦 要 塞 
p_town_17|博 德 明 
p_town_18|卡 宁 
p_town_19|赛 尔 里 满 莱 
p_town_20|拉 赛 特 尔 
p_town_21|梅 斯 图 
p_town_22|马 威 堡 
p_town_23|托 腾 
p_town_24|凯 希 亚 
p_town_25|埃 里 奇 
p_town_26|拜 卡 灵 
p_town_27|贝 班 堡 
p_town_28|克 鲁 亨 
p_town_29|提 梅 尔 
p_castle_1|莱 桂 宁 堡 
p_castle_2|梅 耶 要 塞 
p_castle_3|多 恩 要 塞 
p_castle_4|米 都 斯 堡 
p_castle_5|迪 纳 斯 
p_castle_6|艾 戈 芬 
p_castle_7|丁 贝 尔 
p_castle_8|威 斯 顿 
p_castle_9|诺 丁 汉 
p_castle_10|林 克 里 
p_castle_11|汉 敦 
p_castle_12|尼 潘 顿 
p_castle_13|牛 津 
p_castle_14|科 恩 要 塞 
p_castle_15|更 士 伯 
p_castle_16|斯 坦 福 
p_castle_17|诺 威 治 
p_castle_18|海 高 力 敦 
p_castle_19|兰 都 斯 堡 
p_castle_20|剑 桥 
p_castle_21|罗 斐 要 塞 
p_castle_22|唐 沃 纳 要 塞 
p_castle_23|希 罗 伯 
p_castle_24|朵 斯 要 塞 
p_castle_25|威 尔 顿 
p_castle_26|坎 顿 
p_castle_27|巴 登 
p_castle_28|艾 斯 肯 要 塞 
p_castle_29|图 安 要 塞 
p_castle_30|丁 泰 格 尔 
p_castle_31|卡 菲 尔 士 
p_castle_32|裘 南 
p_castle_33|卡 拉 道 格 堡 
p_castle_34|高 宾 
p_castle_35|杜 恩 丘 
p_castle_36|火 德 丘 
p_castle_37|泰 罗 丘 
p_castle_38|阿 沃 尔 丘 
p_castle_39|昂 黎 丘 
p_castle_40|阿 缪 尔 柯 
p_castle_41|拜 克 堡 
p_castle_42|迪 纳 斯 布 兰 
p_castle_43|阿 尔 特 堡 
p_castle_44|厄 夫 堡 
p_castle_45|先 能 特 堡 
p_castle_46|史 维 斯 堡 
p_castle_47|梅 根 苏 赛 
p_castle_48|温 德 堡 
p_castle_49|斯 卡 发 
p_castle_50|伟 约 克 
p_castle_51|豪 斯 塔 夫 
p_castle_52|海 德 贝 尔 
p_castle_53|斯 盖 宁 索 
p_castle_54|霍 达 兰 
p_castle_55|爱 蒂 尔 
p_castle_56|罗 加 兰 
p_castle_57|雷 德 要 塞 
p_castle_58|倍 得 丘 
p_castle_59|马 恩 岛 
p_castle_60|加 纳 莱 
p_castle_61|奥 克 尼 加 
p_castle_62|微 斯 嘉 
p_castle_63|肯 尼 莫 
p_castle_64|维 拉 斯 印 吉 
p_castle_65|塞 比 奇 丘 
p_castle_66|马 拉 弗 
p_castle_67|马 柯 巴 
p_castle_68|杜 伦 莫 尔 
p_castle_69|拉 克 车 尔 
p_castle_70|科 法 明 
p_castle_71|亚 德 麻 查 
p_castle_72|马 格 杜 迈 
p_castle_73|阿 斯 摩 尔 
p_castle_74|阿 依 彻 达 
p_castle_75|阿 勃 该 尔 
p_castle_76|雷 戈 卡 纳 
p_castle_77|卡 哈 柯 美 
p_castle_78|伦 卡 纳 特 
p_castle_79|科 克 埃 米 
p_castle_80|阿 斯 伯 纳 
p_castle_81|盖 安 埃 伯 
p_castle_82|莱 斯 摩 尔 
p_castle_83|塞 利 卢 卡 
p_castle_84|密 斯 桂 
p_castle_85|南 巴 克 丘 
p_castle_86|塞 笛 拉 
p_castle_87|莱 昂 翰 
p_castle_88|博 格 丘 
p_castle_89|罗 米 楚 林 
p_castle_90|麦 尔 雷 根 
p_village_1|莱 桂 宁 翰 
p_village_2|梅 耶 翰 
p_village_3|多 恩 翰 
p_village_4|米 都 斯 翰 
p_village_5|迪 纳 斯 翰 
p_village_6|艾 戈 芬 翰 
p_village_7|贝 尔 翰 
p_village_8|威 克 斯 翰 
p_village_9|诺 丁 汉 南 
p_village_10|林 克 里 翰 
p_village_11|汉 翰 
p_village_12|尼 潘 顿 翰 
p_village_13|牛 津 翰 
p_village_14|科 恩 翰 
p_village_15|更 士 伯 翰 
p_village_16|斯 坦 翰 
p_village_17|诺 威 翰 
p_village_18|海 高 力 翰 
p_village_19|兰 都 斯 翰 
p_village_20|剑 桥 翰 
p_village_21|罗 斐 翰 
p_village_22|唐 沃 纳 翰 
p_village_23|希 罗 翰 
p_village_24|朵 斯 翰 
p_village_25|威 尔 翰 
p_village_26|坎 翰 
p_village_27|巴 登 翰 
p_village_28|艾 斯 肯 翰 
p_village_29|彻 弗 图 安 
p_village_30|彻 弗 泰 格 尔 
p_village_31|彻 弗 卡 菲 尔 士 
p_village_32|彻 弗 裘 
p_village_33|彻 弗 卡 拉 道 格 
p_village_34|彻 弗 高 宾 
p_village_35|巴 尔 杜 恩 
p_village_36|巴 尔 火 德 
p_village_37|巴 尔 泰 罗 
p_village_38|巴 尔 阿 沃 
p_village_39|巴 尔 昂 黎 
p_village_40|巴 尔 缪 柯 
p_village_41|彻 弗 拜 克 
p_village_42|彻 弗 布 兰 
p_village_43|彻 弗 阿 尔 特 
p_village_44|彻 弗 厄 夫 
p_village_45|彻 弗 先 能 特 
p_village_46|彻 弗 史 维 斯 
p_village_47|彻 弗 赛 柯 
p_village_48|彻 弗 温 德 
p_village_49|斯 卡 发 拜 
p_village_50|伟 约 克 拜 
p_village_51|豪 斯 塔 夫 拜 
p_village_52|海 德 拜 
p_village_53|斯 盖 宁 索 拜 
p_village_54|霍 达 拜 
p_village_55|爱 蒂 尔 拜 
p_village_56|罗 加 兰 拜 
p_village_57|彻 弗 雷 德 
p_village_58|巴 尔 倍 得 
p_village_59|彻 弗 马 恩 
p_village_60|加 纳 莱 拜 
p_village_61|奥 克 尼 加 拜 
p_village_62|微 斯 嘉 拜 
p_village_63|肯 尼 莫 特 
p_village_64|维 拉 斯 印 吉 特 
p_village_65|巴 尔 塞 比 奇 
p_village_66|巴 尔 马 拉 
p_village_67|巴 尔 马 柯 巴 
p_village_68|巴 尔 莫 尔 北 
p_village_69|巴 尔 克 车 尔 
p_village_70|巴 尔 法 明 
p_village_71|巴 尔 麻 查 
p_village_72|巴 尔 杜 迈 
p_village_73|巴 尔 莫 尔 南 
p_village_74|巴 尔 依 彻 达 
p_village_75|巴 尔 勃 该 尔 
p_village_76|巴 尔 卡 纳 
p_village_77|巴 尔 柯 美 
p_village_78|巴 尔 伦 
p_village_79|巴 尔 科 克 埃 米 
p_village_80|巴 尔 伯 纳 
p_village_81|巴 尔 盖 安 埃 伯 
p_village_82|巴 尔 莱 斯 摩 尔 
p_village_83|巴 尔 塞 利 卢 卡 
p_village_84|巴 尔 密 斯 桂 
p_village_85|巴 尔 南 巴 克 
p_village_86|巴 尔 笛 拉 
p_village_87|巴 尔 莱 昂 翰 
p_village_88|巴 尔 博 格 
p_village_89|巴 尔 罗 米 楚 林 
p_village_90|巴 尔 麦 尔 雷 根 
p_village_91|巴 尔 塔 拉 
p_village_92|坎 托 拉 翰 北 
p_village_93|坎 托 拉 翰 南 
p_village_94|熙 朋 翰 东 
p_village_95|熙 朋 翰 西 
p_village_96|爱 丁 翰 东 
p_village_97|爱 丁 翰 西 
p_village_98|里 伯 拜 北 
p_village_99|里 伯 拜 南 
p_village_100|顿 士 拜 东 
p_village_101|顿 士 拜 西 
p_village_102|彻 弗 布 雷 顿 东 
p_village_103|彻 弗 布 雷 顿 西 
p_village_104|都 柏 林 拜 北 
p_village_105|都 柏 林 拜 南 
p_village_106|彻 弗 戴 夫 东 
p_village_107|彻 弗 戴 夫 西 
p_village_108|依 奥 法 翰 东 
p_village_109|依 奥 法 翰 西 
p_village_110|多 尔 翰 东 
p_village_111|多 尔 翰 西 
p_village_112|伦 敦 翰 北 
p_village_113|伦 敦 翰 南 
p_village_114|彻 弗 芒 东 
p_village_115|彻 弗 芒 西 
p_village_116|杜 翰 北 
p_village_117|杜 翰 南 
p_village_118|巴 尔 斯 昆 东 
p_village_119|巴 尔 斯 昆 西 
p_village_120|维 坦 翰 北 
p_village_121|维 坦 翰 南 
p_village_122|彻 弗 博 明 东 
p_village_123|彻 弗 博 明 西 
p_village_124|巴 尔 卡 宁 北 
p_village_125|巴 尔 卡 宁 南 
p_village_126|巴 尔 里 满 莱 北 
p_village_127|巴 尔 里 满 莱 南 
p_village_128|巴 尔 赛 特 东 
p_village_129|巴 尔 赛 特 西 
p_village_130|巴 尔 梅 斯 图 东 
p_village_131|巴 尔 梅 斯 图 西 
p_village_132|彻 弗 马 威 东 
p_village_133|彻 弗 马 威 西 
p_village_134|托 翰 东 
p_village_135|彻 弗 马 威 西 
p_village_136|巴 尔 凯 希 亚 东 
p_village_137|巴 尔 凯 希 亚 西 
p_village_138|巴 尔 埃 里 奇 东 
p_village_139|巴 尔 埃 里 奇 西 
p_village_140|彻 弗 拜 卡 灵 东 
p_village_141|彻 弗 拜 卡 灵 西 
p_village_142|贝 班 翰 北 
p_village_143|贝 班 翰 南 
p_village_144|巴 尔 克 鲁 亨 东 
p_village_145|巴 尔 克 鲁 亨 西 
p_village_146|巴 尔 提 梅 尔 北 
p_village_147|巴 尔 提 梅 尔 南 
p_village_148|锡 伦 翰 东 
p_village_149|锡 伦 翰 西 
p_village_150|道 琴 嘉 
p_salt_mine|盐 矿 
p_four_ways_inn|福 泽 斯 坦 
p_test_scene|测 试 场 景 
p_battlefields|战 场 
p_frisa_beach|弗 里 斯 海 滩 
p_farmland|伍 尔 夫 的 农 场 
p_boar_grove|野 猪 林 
p_readingum|雷 丁 镇 
p_aescesdun|艾 克 丹 
p_mega_danishrmy|维 京 雄 狮 
p_battle_stones|石 阵 
p_farmland_special|农 田 
p_roman_fort|诺 曼 要 塞 
p_troll_bridge|巨 魔 桥 
p_circle_mystic1|神 秘 圆 阵 
p_celidon_forest|远 古 石 群 
p_hidden_valley|罕 见 的 遗 迹 
p_quarry1|采 石 场 
p_quarry2|采 石 场 
p_quarry3|采 石 场 
p_quarry4|采 石 场 
p_saltmine1|盐 矿 
p_saltmine2|盐 矿 
p_saltmine3|盐 矿 
p_saltmine4|盐 矿 
p_lumbercamp1|伐 木 营 
p_lumbercamp2|伐 木 营 
p_lumbercamp3|伐 木 营 
p_lumbercamp4|伐 木 营 
p_farmsteadsp1|农 场 
p_farmsteadsp2|农 场 
p_farmsteadsp3|农 场 
p_farmsteadsp4|农 场 
p_farmsteadsp5|农 场 
p_farmsteadsp6|农 场 
p_farmsteadsp7|农 场 
p_farmsteadsp8|农 场 
p_farmsteadsp9|农 场 
p_hadrian_wall1|哈 德 良 长 城 
p_bjorn_camp|比 约 恩 的 营 地 
p_snotingaham_siege|被 包 围 的 诺 丁 汉 
p_odin_cave|奥 丁 之 穴 
p_stonemonumento|石 之 丰 碑 
p_forestbattle|林 中 之 战 
p_the_thing|集 结 号 
p_dhorak_keep|多 拉 克 要 塞 
p_training_ground|训 练 场 
p_training_ground_1|训 练 场 
p_training_ground_2|训 练 村 
p_training_ground_3|训 练 场 
p_training_ground_4|训 练 湖 
p_training_ground_5|训 练 营 
p_monasterio1|坎 达 卡 莎 慕 修 道 院 
p_monasterio2|卫 利 波 洛 修 道 院 
p_monasterio3|多 默 克 修 道 院 
p_monasterio4|林 第 斯 法 纳 修 道 院 
p_monasterio5|埃 克 杉 修 道 院 
p_monasterio6|佩 特 勒 斯 
p_monasterio7|佩 尔 斯 格 修 道 院 
p_monasterio8|朗 特 鲁 道 格 修 道 院 
p_monasterio9|安 格 尔 艾 利 修 道 院 
p_monasterio10|伊 威 宿 曼 修 道 院 
p_monasterio11|艾 德 武 达 修 道 院 
p_monasterio12|汉 格 斯 修 道 院 
p_monasterio13|卜 尔 丹 修 道 院 
p_monasterio14|古 拉 达 克 修 道 院 
p_monasterio15|沃 茨 纳 格 修 道 院 
p_monasterio16|库 洛 硕 修 道 院 
p_monasterio17|威 尔 巴 赫 修 道 院 
p_monasterio18|第 尔 哈 斯 特 修 道 院 
p_monasterio19|瓦 特 晗 修 道 院 
p_monasterio20|布 雷 特 罗 戈 修 道 院 
p_monasterio21|枚 德 汉 姆 斯 修 道 院 
p_monasterio22|库 克 汉 姆 修 道 院 
p_monasterio23|巴 特 利 修 道 院 
p_monasterio24|戴 卡 格 里 修 道 院 
p_monasterio25|菲 尼 安 修 道 院 
p_monasterio26|瓦 泽 安 修 道 院 
p_monasterio27|克 汗 斯 茨 修 道 院 
p_monasterio28|斯 乐 科 海 慈 修 道 院 
p_monasterio29|格 伦 达 洛 谷 修 道 院 
p_yourlair|庇 护 所 
p_thiaderd_lair|泰 德 的 藏 身 处 
p_destroy1|泰 德 的 藏 身 处 ( 已 破 坏 ) 
p_destroy2|斯 温 的 藏 身 处 ( 已 破 坏 ) 
p_destroy3|艾 克 丹 战 场 
p_followers_camp|追 随 者 营 地 
p_ferry_1a| 渡 口 
p_ferry_2a| 渡 口 
p_ferry_3a|渡 口 
p_ferry_4a|渡 口 
p_ferry_1b|渡 口 
p_ferry_2b|渡 口 
p_ferry_3b|渡 口 
p_ferry_4b|渡 口 
p_wales_spawn_point|海 岸 
p_fortiu_spawn_point|海 岸 
p_sussex_spawn_point|南 撒 克 逊 
p_clyde_coast_spawn_point|河 
p_limerick_spawn_point|海 岸 
p_norway_spawn_point|山 岳 
p_northumbria_spawn_point|乡 村 
p_mierce_spawn_point|乡 村 
p_crafu_spawn_point|乡 村 
p_alban_spawn_point|乡 村 
p_aileach_spawn_point|乡 村 
p_engla_coast_spawn_point|海 岸 
p_cornish_coast_spawn_point|海 岸 
p_leinster_spawn_point|乡 村 
p_frisia_spawn_point|乡 村 
p_denmark_spawn_point|乡 村 
p_caitness_priest_spawn_point|乡 村 
p_northumbria_priest_spawn_point|乡 村 
p_norway_priest_spawn_point|乡 村 
p_denmark_priest_spawn_point|乡 村 
p_channel_spawn_point|海 峡 
p_bight_spawn_point|南 部 的 海 岸 线 
p_irish_sea_spawn_point|爱 尔 兰 海 
p_forth_firth_spawn_point|福 斯 湾 
p_skagerrak_spawn_point|斯 卡 格 拉 克 海 峡 
p_firth_clyde_spawn_point|克 莱 德 湾 
p_landing_point|码 头 
p_the_fleet|舰 队 
p_transporter|运 输 者 
p_troop_camp_1|军 营 
p_troop_camp_2|军 营 
p_paganholysites1|奥 丁 神 庙 
p_paganholysites2|索 尔 神 庙 
p_oldpagan_hut|破 旧 的 多 神 教 徒 小 屋 
p_morrigan_lair|莫 莉 卡 的 巢 穴 
p_bresail_farm|普 雷 西 尔 王 子 的 农 场 
p_bresail_fort|普 雷 西 尔 王 子 的 堡 垒 
