pt_none|none{***}
pt_rescued_prisoners|被 救 的 俘 虏 
pt_enemy|敌 人 
pt_hero_party|英 雄 部 队 
pt_village_defenders|村 庄 卫 队 
pt_cattle_herd|牛 群 
pt_looters|劫 匪 
pt_manhunters|青 年 勇 士 
pt_steppe_bandits|诺 曼 强 盗 
pt_taiga_bandits|维 京 强 盗 
pt_desert_bandits|老 练 叛 军 
pt_forest_bandits|强 盗 
pt_mountain_bandits|叛 军 
pt_sea_raiders|无 主 斗 士 
pt_sea_raiders2|丹 麦 精 英 维 京 强 盗 
pt_fianna|费 奥 纳 的 叛 徒 
pt_frank_looters_1|盗 贼 
pt_frank_looters_2|盗 贼 
pt_deserters|散 兵 游 勇 
pt_merchant_caravan|商 人 的 商 队 
pt_troublesome_bandits|难 对 付 的 强 盗 
pt_bandits_awaiting_ransom|等 待 赎 金 的 强 盗 
pt_kidnapped_girl|被 绑 架 的 女 孩 
pt_village_farmers|村 民 
pt_spy_partners|不 显 眼 的 旅 行 者 
pt_runaway_serfs|逃 跑 的 农 奴 
pt_spy|普 通 的 市 民 
pt_sacrificed_messenger|献 祭 信 使 
pt_scout_party|侦 察 队 
pt_messenger_party|信 使 
pt_raider_party|突 袭 队 
pt_raider_captives|猎 俘 队 
pt_kingdom_caravan_party|商 队 
pt_prisoner_train_party|运 俘 队 
pt_default_prisoners|逃 走 的 俘 虏 
pt_routed_warriors|溃 军 
pt_center_reinforcements|增 援 部 队 
pt_kingdom_hero_party|军 队 
pt_steppe_bandit_lair|诺 曼 港 垒 
pt_taiga_bandit_lair|维 京 港 垒 
pt_desert_bandit_lair|老 练 叛 军 营 地 
pt_forest_bandit_lair|强 盗 老 巢 
pt_mountain_bandit_lair|叛 军 营 地 
pt_sea_raider_lair|斗 士 营 地 
pt_sea_raider_lair2|丹 麦 港 垒 
pt_looter_lair|绑 架 者 藏 身 处 
pt_leaded_looters|强 盗 团 
pt_sacerdotes_party|基 督 教 牧 师 
pt_paganos_party|多 神 教 祭 司 
pt_sea_raiders_ships|法 兰 克 突 袭 者 
pt_sea_raiders_ships2|丹 麦 维 京 强 盗 
pt_sea_raiders_ships3|维 京 强 盗 
pt_sea_raiders_ships4|挪 威 维 京 强 盗 
pt_sea_raiders_ships5|瑞 典 维 京 强 盗 
pt_sea_raiders_ships6|突 袭 者 
pt_chimney_smoke|烟 
pt_epic_fleet|传 奇 维 京 船 队 
pt_port|港 口 
pt_ferry_port|港 口 
pt_landet_ships|你 的 船 
pt_fisher_ship|渔 船 
pt_traveller_ship|旅 行 者 
pt_slave_trader_ship|贩 奴 船 
pt_sea_king_danish|提 督 
pt_sea_king_norweg|提 督 
pt_walrus_hunter|海 象 猎 人 
pt_viking_raider|维 京 突 袭 者 
pt_ambushers|伏 击 者 
pt_ship|船 
pt_sven_doccinga_ca|斯 温 的 突 袭 队 
pt_sven_lair_deffense|斯 温 的 藏 身 处 
pt_kennemer_revenge|突 袭 者 
pt_sigurd_farm_men|西 格 德 的 战 士 
pt_wessex_foragers|西 撒 克 逊 征 粮 队 
pt_wessex_patrol|西 撒 克 逊 巡 逻 队 
pt_norway_looters|盗 贼 
pt_jetty_port|港 口 
pt_boar_herd|野 猪 群 
pt_adv_party|战 团
pt_slave_hideout|藏 身 处 
pt_village_elder|税 吏 
