qst_deliver_message|送 信 给 {s13}
qst_deliver_message_text|{s9} 请 你 带 个 口 信 给 {s13} ， 当 你 接 受 这 个 任 务 的 时 候 {s13} 正 在 {s4} 。
qst_deliver_message_to_enemy_lord|送 信 给 {s13}
qst_deliver_message_to_enemy_lord_text|{s9} 请 你 带 个 口 信 给 {s15} 的 {s13} ， 当 你 接 受 这 个 任 务 的 时 候 {s13} 在 {s4} 。 
qst_raise_troops|培 养 {reg1}名 {s14}
qst_raise_troops_text|{s9} 请 你 筹 集 {reg1} {s14} 并 且 把 这 些 东 西 带 给 他 。 
qst_escort_lady|护 送 {s13}去 {s14}
qst_deal_with_bandits_at_lords_village|从 强 盗 手 里 解 救 {s15}村 
qst_deal_with_bandits_at_lords_village_text|{s13} 请 你 去 对 付 那 些 躲 在 {s15} 里 的 强 盗 然 后 回 去 报 告 给 他 。 
qst_collect_taxes|到 {s3}征 税 
qst_collect_taxes_text|{s9} 请 你 征 收 {s3}的 税 ， 你 可 以 拿 走 五 分 之 一 的 钱 。 
qst_hunt_down_fugitive|抓 捕 {s4}
qst_hunt_down_fugitive_text|{s9} 请 你 去 抓 捕 一 个 叫 {s4}的 囚 犯 ， 他 现 在 正 在 {s3} 。 
qst_kill_local_merchant|杀 掉 {s3}的 地 方 商 人 
qst_kill_local_merchant_text|{s9} 请 你 暗 杀 一 个 当 地 的 商 人 ， 他 现 在 在 {s3} 。 
qst_bring_back_runaway_serfs|追 回 逃 跑 的 农 奴 
qst_bring_back_runaway_serfs_text|{s9} 请 你 去 抓 捕 逃 跑 的 农 民 ， 把 他 们 带 回 {s2} 。 他 说 所 有 的 农 民 正 逃 向 {s3} 。 
qst_follow_spy|跟 踪 准 备 去 碰 头 的 间 谍 
qst_follow_spy_text|{s11} 请 你 跟 踪 一 个 从 {s12}出 来 的 间 谍 。 你 必 须 小 心 的 跟 着 他 ， 不 要 在 中 途 被 他 发 现 否 则 他 可 能 会 起 疑 心 并 且 返 回 镇 子 里 去 ， 当 他 与 同 伙 会 面 时 ， 你 要 埋 伏 并 且 抓 住 他 们 ， 把 他 们 都 带 回 {s11} 。 
qst_capture_enemy_hero|抓 捕 在 {s13}的 一 个 领 主 
qst_lend_companion|把 你 的 同 伴 {s3}借 给 {s9}
qst_lend_companion_text|{s9} 向 你 借 {s3} 到 他 的 队 伍 里 一 个 星 期 
qst_collect_debt|讨 要 {s3}欠 {s9}的 借 款 
qst_collect_debt_text|{s9} 请 你 去 收 回 债 务 {reg4} 先 令 {s3} 带 给 他 。 
qst_incriminate_loyal_commander|控 告 {s13}的 忠 心 指 挥 官 {s16}
