qstr_Breaking_camp...|终 止 宿 营 ……
qstr_The_poem_the_bard_ha|吟 游 诗 人 为 {s33} 写 的 诗 似 乎 没 有 打 动 她 。 
qstr_Poem_for_a_lady|给 女 士 的 诗 
qstr_{s33}_seemed_to_like|{s33} 似 乎 喜 欢 这 首 吟 游 诗 人 为 她 写 的 诗 。 
qstr_The_bard_s_poem_abou|吟 游 诗 人 讲 述 你 的 诗 正 在 广 泛 传 播 。 
qstr_Fame_spreads|名 声 传 播 
qstr_People_say_that_{s31|人 们 说 {s31}发 现 了 一 个 埋 葬 维 京 {s32} 财 产 墓 穴。 主 对 它 的 所 有 权 争 议 进 行 平 息 。 
qstr_People_say_that_{s31}|人 们 说 {s31}或 仆 人 偷 了 {s32}的 财 产 。 那 使 得 {s32}愤 怒 。 
qstr_People_say_that_{s31}_|人 们 说 {s31}侍 从 之 一 {s32}一 杯 毒 酒 {s32}激 怒 了 。 
qstr_People_say_that_{s31}_t|人 们 说 {s31}试 图 贿 赂 一 些 {s32}的 保 镖 进 入 家 庭 ， 但 {s32}被 发 现 。 
qstr_People_say_that_a_ru|人 们 说 ， 谣 言 传 播 的 一 个 未 知 的 旅 行 者 未 能 煽 动 {s31} 和 {s32}之 间 的 敌 意 。 
qstr_{s33}|{s33}
qstr_Rumors|谣 言 
qstr_{playername}_is_beli|{playername}被 认 为 是 最 近 的 贬 损 的 谣 言 背 后 涉 及 {s32}和 {s31}.
qstr_A_recent_rumor_alleg|最 近 传 闻 宣 称 {s32}隐 藏 在 他 的 保 镖 背 后 战 斗 。 
qstr_A_recent_rumor_allege|最 近 传 闻 宣 称 {s32}在 他 的 庄 园 里 练 习 某 种 扭 曲 的 仪 式 。 
qstr_A_recent_rumor_alleges|最 近 传 闻 宣 称 {s32}很 喜 欢 他 的 新 母 马 ， 如 果 你 明 白 我 的 意 思 。 
qstr_A_recent_rumor_alleges_|最 近 传 闻 宣 称 {s32}相 比 起 剑 更 想 有 一 个 角 杯 。 
qstr_People_say_that_a_rum|人 们 说 ， 一 个 谣 言 传 播 的 一 个 未 知 的 旅 行 者 {s32}没 有 损 害 他 的 名 誉 。 
