trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色 
trp_temp_troop|Temp Troop　
trp_temp_troop_pl|Temp Troop　
trp_find_item_cheat|find item cheat　
trp_find_item_cheat_pl|find item cheat　
trp_random_town_sequence|Random Town Sequence　
trp_random_town_sequence_pl|Random Town Sequence　
trp_tournament_participants|竞 技 场 选 手 
trp_tournament_participants_pl|竞 技 场 选 手 
trp_tutorial_maceman|锤 子 手 
trp_tutorial_maceman_pl|锤 子 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|剑 士 
trp_tutorial_swordsman_pl|剑 士 
trp_novice_fighter|初 级 斗 士 
trp_novice_fighter_pl|初 级 斗 士 
trp_regular_fighter|正 规 斗 士 
trp_regular_fighter_pl|正 规 斗 士 
trp_veteran_fighter|资 深 斗 士 
trp_veteran_fighter_pl|资 深 斗 士 
trp_champion_fighter|精 英 斗 士 
trp_champion_fighter_pl|精 英 斗 士 
trp_arena_training_fighter_1|初 级 斗 士 
trp_arena_training_fighter_1_pl|初 级 斗 士 
trp_arena_training_fighter_2|初 级 斗 士 
trp_arena_training_fighter_2_pl|初 级 斗 士 
trp_arena_training_fighter_3|正 规 斗 士 
trp_arena_training_fighter_3_pl|正 规 斗 士 
trp_arena_training_fighter_4|正 规 斗 士 
trp_arena_training_fighter_4_pl|正 规 斗 士 
trp_arena_training_fighter_5|正 规 斗 士 
trp_arena_training_fighter_5_pl|正 规 斗 士 
trp_arena_training_fighter_6|资 深 斗 士 
trp_arena_training_fighter_6_pl|资 深 斗 士 
trp_arena_training_fighter_7|资 深 斗 士 
trp_arena_training_fighter_7_pl|资 深 斗 士 
trp_arena_training_fighter_8|资 深 斗 士 
trp_arena_training_fighter_8_pl|资 深 斗 士 
trp_arena_training_fighter_9|精 英 斗 士 
trp_arena_training_fighter_9_pl|精 英 斗 士 
trp_arena_training_fighter_10|精 英 斗 士 
trp_arena_training_fighter_10_pl|精 英 斗 士 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|农 民 
trp_farmer_pl|农 民 
trp_cantaber_iuventus|坎 塔 布 里 亚 战 士 
trp_cantaber_iuventus_pl|坎 塔 布 里 亚 战 士 
trp_asturias_veteran|阿 斯 图 里 亚 斯 老 兵 
trp_asturias_veteran_pl|阿 斯 图 里 亚 斯 老 兵 
trp_gallaecia_warrior|加 雷 西 亚 侍 卫 
trp_gallaecia_warrior_pl|加 雷 西 亚 侍 卫 
trp_townsman|市 民 
trp_townsman_pl|市 民 
trp_watchman|雇 佣 哨 兵 
trp_watchman_pl|雇 佣 哨 兵 
trp_mercenary_cavalry|弗 兰 克 雇 佣 骑 兵 
trp_mercenary_cavalry_pl|弗 兰 克 雇 佣 骑 兵 
trp_caravan_guard|雇 佣 矛 兵 
trp_caravan_guard_pl|雇 佣 矛 兵 
trp_mercenary_swordsman|资 深 士 兵 
trp_mercenary_swordsman_pl|资 深 士 兵 
trp_regular_sailors|水 手 
trp_regular_sailors_pl|水 手 
trp_mercenary_horseman|阿 基 坦 游 骑 兵 
trp_mercenary_horseman_pl|阿 基 坦 游 骑 兵 
trp_mercenary_leader|老 队 长 
trp_mercenary_leader_pl|老 队 长 
trp_hired_blade|斯 韦 阿 战 士 
trp_hired_blade_pl|斯 韦 阿 战 士 
trp_mercenary_crossbowman|芬 兰 弓 箭 手 
trp_mercenary_crossbowman_pl|芬 兰 弓 箭 手 
trp_mercenaries_end|村 民 
trp_mercenaries_end_pl|村 民 
trp_norse_slave|诺 尔 斯 自 由 民 (轻 .步 )
trp_norse_slave_pl|诺 尔 斯 自 由 民 （轻 .步 )
trp_norse_bowman|诺 尔 斯 弓 箭 手 (游 )
trp_norse_bowman_pl|诺 尔 斯 弓 箭 手 (游 )
trp_norse_elitearcher|诺 尔 斯 精 英 弓 箭 手 (中 .游 )
trp_norse_elitearcher_pl|诺 尔 斯 精 英 弓 箭 手 (中 .游 )
trp_norse_level0_landed|诺 尔 斯 农 民 (轻 .步 )
trp_norse_level0_landed_pl|诺 尔 斯 农 民 (轻.步 )
trp_norse_level1_landed|诺 尔 斯 持 矛 兵 (中 .步 )
trp_norse_level1_landed_pl|诺 尔 斯 持 矛 兵 (中 .步 )
trp_norse_level2_landed|诺 尔 斯 资 深 持 矛 兵 (重 .步 )
trp_norse_level2_landed_pl|诺 尔 斯 资 深 持 矛 兵 (重 .步 )
trp_norse_level3_landed|诺 尔 斯 贵 族 (精 .步 )
trp_norse_level3_landed_pl|诺 尔 斯 贵 族 (精 .步 )
trp_norse_level0_companion|诺 尔 斯 青 年 勇 士 (中 .步 )
trp_norse_level0_companion_pl|诺 尔 斯 青 年 勇 士 (中 .步 )
trp_norse_level1_companion|诺 尔 斯 资 深 士 兵 (重 .步 )
trp_norse_level1_companion_pl|诺 尔 斯 资 深 士 兵 (重 .步 )
trp_norse_level2_companion|诺 尔 斯 侍 卫 (精 .步 )
trp_norse_level2_companion_pl|诺 尔 斯 侍 卫 (精 .步 )
trp_norse_standard_bearer|诺 尔 斯 旗 手 
trp_norse_standard_bearer_pl|诺 尔 斯 旗 手 
trp_norse_priest|诺 尔 斯 奥 丁 祭 司 
trp_norse_priest_pl|诺 尔 斯 奥 丁 祭 司 
trp_briton_slave|布 立 吞 农 奴 (轻 .步 )
trp_briton_slave_pl|布 立 吞 农 奴 (轻 .步 )
trp_briton_level0_landed|布 立 吞 自 由 民 (轻 .步 )
trp_briton_level0_landed_pl|布 立 吞 自 由 民 (轻 .步 )
trp_briton_level1_landed|布 立 吞 持 矛 兵 (中 .步 )
trp_briton_level1_landed_pl|布 立 吞 持 矛 兵 (中 .步 )
trp_briton_level2_landed|布 立 吞 资 深 持 矛 兵 (重 .步 )
trp_briton_level2_landed_pl|布 立 吞 资 深 持 矛 兵 (重 .步 )
trp_briton_level3_landed|布 立 吞 贵 族 (精 .步 )
trp_briton_level3_landed_pl|布 立 吞 贵 族 (精 .步 )
trp_briton_level0_companion|布 立 吞 战 士 (中 .步 )
