dlga_start:blocked_agent|這 人 看 起 來 很 忙 ， 也 許 我 還 是 繼 續 上 路 的 好 …… 
dlga_blocked_agent:close_window|對 不 起 ， 我 不 是 有 意 打 斷 你 的 。
dlga_blocked_agent:close_window.1|[離 開 ]
dlga_dog_talk_2:close_window|跟 上 我 ！
dlga_dog_talk_2:close_window.1|去 吧 ， {s1} ， 去 吧 ！ 
dlga_dog_talk_2:close_window.2|{s1} ， 停 下 ！ 
dlga_dog_talk_2:dog_talk_pretrain|來 ， 我 有 些 東 西 給 你 …… 
dlga_dog_talk_2:close_window.3|我 會 叫 你 …… 
dlga_dog_talk_2:close_window.4|壞 狗 狗 ！ 走 開 ！ 我 不 要 你 了 ！ 
dlga_dog_talk_2:close_window.5|扔 下 ！ 
dlga_start:dog_talk_recruit| 
dlga_dog_talk_recruit:dog_talk_1|來 ， 給 你 一 根 火 腿 ！ 
dlga_dog_talk_recruit:close_window|好 孩 子 ！ 
dlga_dog_talk_recruit:close_window.1|走 開 ！ 
dlga_dog_talk_pretrain:dog_talk_train|來 ， 我 有 些 東 西 給 你 …… 
dlga_dog_talk_train:dog_talk_pretrain|你 看 起 來 氣 色 不 好 。 來 ， 我 給 你 一 個 {s7} ！ 
dlga_dog_talk_train:dog_talk_pretrain.1|來 ， 這 個 {s7} 會 讓 你 更 強 壯 ！ 
dlga_dog_talk_train:dog_talk_pretrain.2|我 想 讓 你 結 實 些 。 這 些 {s7} 對 你 有 好 處 ！ 
dlga_dog_talk_train:dog_talk_pretrain.3|你 太 瘦 了 ， 來 ， 我 給 你 些 {s7} ！ 
dlga_dog_talk_train:dog_talk_pretrain.4|我 的 朋 友 ， 你 能 跑 得 更 快 。 這 些 {s7} 是 給 你 的 ！ 
dlga_dog_talk_train:dog_talk_pretrain.5|拿 這 些 {s7} 磨 磨 牙 ！ 
dlga_dog_talk_train:dog_talk_1|我 沒 有 食 物 給 你 了 。 
dlga_dog_talk_train:dog_talk_1.1|今 天 就 這 麼 多 吧 。 
dlga_start:close_window.1|你 去 看 看 你 的 母 親 ， 給 她 打 點 些 東 西 讓 她 安 心 上 路 。 
dlga_start:close_window.2|我 在 等 某 個 人 ， 他 與 一 個 女 孩 同 行 ， 你 見 過 他 們 嗎 ？ 
dlga_start:close_window.3|啊 ， 你 是 {playername} 。 索 裡 克 說 過 你 會 來 的 。 上 船 吧 ， 我 和 我 的 人 會 讓 你 見 識 下 這 船 有 多 輕 捷 。 
dlga_start:port_chief_travel|嘿 ！ 你 是 要 往 下 一 個 城 鎮 去 嗎 ？ 
dlga_start:close_window.4|請 等 所 有 人 都 上 船 。 
dlga_port_chief2:port_chief3|你 需 要 什 麼 ？ 
dlga_port_chief3:port_chief_fleet1|你 好 ， 我 是 來 加 入 牛 頸 斯 溫 和 哈 羅 德 · 哈 羅 德 遜 的 艦 隊 。 他 們 即 將 遠 航 英 格 蘭 。
dlga_port_chief3:port_chief_bodoletter1|一 個 叫 阿 提 利 · 埃 裡 克 遜 的 人 不 久 前 離 開 了 這 個 港 口 。 你 知 道 他 去 哪 了 嗎 ？ 
dlga_port_chief3:port_chief_pieles|我 已 經 把 皮 毛 給 了 霍 格 尼 ， 現 在 該 你 了 。 阿 提 利 · 埃 裡 克 遜 在 哪 ？ 
dlga_port_chief3:port_chief_catach|我 在 格 倫 達 洛 谷 修 道 院 拿 到 了 「 科 倫 西 爾 之 經 」 。 
dlga_port_chief3:port_chief_catach32|可 惜 格 倫 達 洛 谷 太 遠 了 。 你 能 改 為 收 錢 嗎 ？ 
dlga_port_chief3:port_chief_svenlair|你 知 道 我 想 要 什 麼 。 牛 頸 斯 溫 的 老 巢 在 哪 ？ 
dlga_port_chief3:port_chief_buy_ship|我 想 買 條 船 。 
dlga_port_chief_buy_ship:close_window|跟 我 來 ！ 
dlga_port_chief3:port_chief_info_main|我 有 些 關 於 船 和 航 海 的 問 題 。 
dlga_port_chief_info_main:port_chief_info_main_1|你 想 知 道 些 什 麼 ？ 
dlga_port_chief_info_main_1:port_chief_info_a_1|人 們 為 什 麼 出 海 ？ 
dlga_port_chief_info_main_1:port_chief_info_b_1|我 怎 麼 在 海 上 辨 別 航 向 ？ 
dlga_port_chief_info_main_1:port_chief_info_c_1|我 想 買 船 的 話 需 要 知 道 些 什 麼 ？ 
dlga_port_chief_info_main_1:port_chief_info_d_1|怎 樣 加 快 航 速 ？ 
dlga_port_chief_info_main_1:port_chief2|我 已 經 了 解 了 ， 謝 謝 ！ 
dlga_port_chief_info_a_1:port_chief_info_main|你 可 以 通 過 航 運 奴 隸 與 貨 物 賺 大 錢 。 其 他 人 則 是 靠 船 來 襲 掠 聚 居 地 。 最 後 ， 只 有 你 擁 有 條 艘 船 ， 維 京 人 才 會 尊 你 為 首 領 。 
dlga_port_chief_info_b_1:port_chief_info_main|白 天 觀 察 太 陽 ， 晚 上 好 好 休 息 。 尋 求 航 向 ， 乘 風 破 浪 。 
dlga_port_chief_info_c_1:port_chief_info_c_2|首 先 你 要 清 楚 用 船 做 什 麼 。 如 果 你 想 做 生 意 ， 那 麼 也 許 克 諾 爾 是 個 好 的 選 擇 。 它 們 龐 大 的 艙 體 便 於 儲 貨 ， 但 航 速 不 快 。 斯 奈 克 和 斯 蓋 德 以 及 布 斯 是 快 速 戰 艦 ， 可 搭 載 大 量 士 兵 。 卡 夫 則 介 於 二 者 之 間 。 如 果 你 的 人 不 多 ， 那 像 白 瑞 丁 這 樣 的 小 船 也 許 更 適 合 你 。 
dlga_port_chief_info_c_2:port_chief_info_main|此 外 還 要 注 意 造 船 所 用 木 材 。 橡 木 所 制 雖 然 價 格 不 菲 但 是 質 地 最 好 。 櫸 木 制 雖 然 便 宜 ， 但 更 易 腐 壞 。 
dlga_port_chief_info_d_1:port_chief_info_main|風 力 ！ 適 時 打 開 風 帆 最 大 程 度 利 用 風 力 。 風 平 浪 靜 ， 你 需 要 多 多 益 善 的 船 員 加 速 航 行 。 艦 隊 的 航 速 取 決 於 最 慢 的 那 艘 船 。 導 航 技 能 的 提 高 也 可 以 提 升 船 隊 的 航 速 。 
dlga_port_chief3:port_chief_travel|我 想 去 往 另 一 個 港 口 。 
dlga_port_chief_travel:close_window|抱 歉 ， 渡 口 目 前 沒 有 途 經 船 只 可 以 運 輸 一 位 元 帥 和 一 整 支 軍 隊 。 
dlga_port_chief_travel:close_window.1|抱 歉 ， 目 前 沒 有 途 經 的 船 只 可 以 運 輸 你 的 隊 伍 以 及 商 人 和 他 的 貨 物 。 
dlga_port_chief_travel:port_chief_travel_2|從 這 裡 可 以 前 往 弗 裡 斯 ， 丹 麥 ， 挪 威 和 英 格 蘭 的 港 口 ， 你 想 去 哪 ？ 
dlga_port_chief_travel:port_chief_travel_2.1|從 這 裡 可 以 前 往 英 格 蘭 和 愛 爾 蘭 的 港 口 ， 你 想 去 哪 ？ 
dlga_port_chief_travel:close_window.2|很 抱 歉 。 目 前 該 港 口 沒 有 客 運 船 只 。 
dlga_port_chief_travel_2:close_window|我 改 主 意 了 。 
dlga_port_chief_travel_3:port_chief_travel_4|你 是 想 去 {s1} 嗎 ？ {s2}
dlga_port_chief_travel_4:port_chief_travel_5|啟 航 了 ！ 
dlga_port_chief3:port_chief_pick_up_ship1|我 的 船 備 好 了 嗎 ？ 
dlga_port_chief_travel_5:close_window|跟 我 來 ！
dlga_port_chief_pick_up_ship1:port_chief2|我 和 我 的 人 還 在 准 備 中 。 過 {reg1}天 再 來 吧 。 
dlga_port_chief_pick_up_ship1:port_chief_pick_up_ship2|船 備 好 了 ！ 你 想 現 在 啟 航 嗎 ？ 
dlga_port_chief_pick_up_ship2:port_chief_pick_up_ship3|沒 錯 ！ 
dlga_port_chief_pick_up_ship2:port_chief2|不 ， 先 不 了 。 
dlga_port_chief_pick_up_ship3:port_chief2|抱 歉 ， 你 的 提 督 技 能 不 足 以 在 這 個 港 口 為 船 隊 增 加 新 船 只 。 
dlga_port_chief_pick_up_ship3:close_window|那 麼 ， 來 瞧 瞧 ， 給 它 起 個 名 字 吧 。 
dlga_port_chief_pick_up_ship3:port_chief2.1|這 港 口 沒 有 再 容 納 一 艘 船 的 空 間 了 。 
dlga_port_chief3:port_chief_build_ship_main|我 希 望 你 給 我 造 艘 船 。 
dlga_port_chief_build_ship_main:port_chief_build_ship_main_1|你 想 要 什 麼 船 ？ 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2|我 僅 僅 需 要 艘 小 白 瑞 丁 。 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.1|我 想 要 艘 克 諾 爾 跑 生 意 。
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.2|一 艘 出 色 的 斯 奈 克 戰 艦 ！ 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.3|我 想 要 巨 型 戰 艦 斯 蓋 德 。 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.4|我 有 許 多 武 士 ， 給 我 造 艘 布 斯 吧 ？ 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.5|我 要 一 艘 出 色 的 全 能 型 船 卡 夫 。 
dlga_port_chief_build_ship_main_1:port_chief2|我 改 主 意 了 。 
