fac_no_faction|No Faction{***}
fac_commoners|平 民 
fac_outlaws|不 法 之 徒 
fac_neutral|中 立 者 
fac_innocents|無 辜 者 
fac_merchants|商 人 
fac_culture_norse|諾 爾 斯 
fac_culture_saxon|撒 克 遜 
fac_culture_angle|盎 格 魯 
fac_culture_welsh|布 立 吞 
fac_culture_irish|戈 伊 德 爾 
fac_culture_scotch|皮 克 特 
fac_player_faction|玩 家 陣 營 
fac_player_supporters_faction|某 個 意 淫 王 國 
fac_kingdom_1|丹 麥 王 國 
fac_kingdom_2|挪 威 王 國 
fac_kingdom_3|雷 弗 萊 王 國 
fac_kingdom_4|弗 裡 斯 王 國 
fac_kingdom_5|西 撒 克 遜 王 國 
fac_kingdom_6|東 盎 格 裡 亞 王 國 
fac_kingdom_7|麥 西 亞 王 國 
fac_kingdom_8|諾 森 布 裡 亞 王 國 
fac_kingdom_9|格 溫 特 王 國 
fac_kingdom_10|拜 卡 靈 王 國 
fac_kingdom_11|奧 卡 勒 王 國 
fac_kingdom_12|康 比 亞 王 國 
fac_kingdom_13|格 萊 永 王 國 
fac_kingdom_14|阿 爾 斯 特 王 國 
fac_kingdom_15|雷 金 王 國 
fac_kingdom_16|穆 梅 殷 王 國 
fac_kingdom_17|卡 內 塔 王 國 
fac_kingdom_18|歐 萊 克 王 國 
fac_kingdom_19|邁 德 王 國 
fac_kingdom_20|奧 爾 本 王 國 
fac_kingdom_21|奧 斯 裡 部 落 
fac_christians|基 督 徒 
fac_pagans|多 神 教 徒 
fac_manhunters|賞 金 獵 人 
fac_deserters|亂 軍 
fac_mountain_bandits|海 盜 
fac_forest_bandits|綠 林 強 盜 
fac_apoyoplayer|中 立 者 
fac_adventurers|冒 險 家 
