menu_start_game_0|歡 迎 來 到 維 京 征 服 世 界（游 戲 版 本 V2.036） 。
mno_continue_i|繼 續 ...
mno_continue_cheat|跳 過 教 程 。
mno_go_back_dot|後 退 。
menu_start_game_3|選 擇 劇 本 
mno_go_back|後 退 
menu_tutorial|你 進 入 了 訓 練 場 ， 不 少 當 地 人 都 在 裡 面 進 行 著 武 器 的 訓 練 。 在 這 裡 你 可 以 通 過 各 種 訓 練 來 提 高 你 的 戰 斗 技 巧 。 
mno_continue|繼 續 ...
menu_reports|角 色 聲 望 ： {reg5}^ 榮 譽 級 別 ： {reg6}^ 部 隊 士 氣 ： {reg8}^ 部 隊 上 限 ： {reg7}^ 
mno_resume_travelling|繼 續 旅 程 。 
menu_start_phase_2x|後 退 
mno_town_4|繼 續 
menu_custom_battle_end|戰 斗 結 束 ， 在 這 場 戰 斗 中 ， {s1}你 的 隊 伍 殺 死 了 {reg5}人 ， 敵 人 的 隊 伍 殺 死 了 {reg6} ， 你 殺 死 了 {reg7}人 。 
menu_start_game_2|歡 迎 來 到 維 京 征 服 世 界 
menu_start_game_1|歡 迎 來 到 維 京 征 服 世 界 
menu_start_game_11|退 出 ？ 
menu_start_game_4|你 已 經 做 出 了 一 些 選 擇 。你 在 冒 險 開 始 後 將 無 法 改 變 。你 仍 然 堅 持 你 的 選 擇 開 始 你 的 冒 險 嗎 ？ 
menu_camp|營 地 已 經 建 好 了 ， 你 想 要 做 什 麼 ？ 
mno_camp_action|干 點 事 情 。 
mno_camp_wait_here|在 這 裡 待 一 會 兒 。 
menu_camp_action_rest|扎 營 允 許 你 的 士 兵 從 長 途 跋 涉 中 得 到 休 息 ， 也 允 許 你 搜 尋 食 物 來 補 充 庫 存 糧 草 。 這 一 點 在 你 進 入 敵 人 領 地 時 非 常 有 用 ， 因 為 你 將 難 以 購 買 補 給 。 
menu_build_refuge_new|你 的 士 兵 等 待 你 下 令 開 始 建 立 避 難 所 。現 在 有 足 夠 的 材 料 ，並 且 缺 失 的 材 料 可 以 在 附 近 村 莊 購 買 。^^總 成 本 ：1000 先 令 。^ 需 要 時 間 ：6 小 時 。
mno_refuge_here|是 的 。 
menu_camp_cheat|選 擇 作 弊 項 目 ： 
mno_camp_cheat_find_item|查 找 一 件 物 品 ……
mno_testing_cheats|使 用 作 弊 代 碼 。 
mno_back_to_camp_menu|回 到 宿 營 菜 單 。 
menu_cheat_testing_cheats1|選 擇 一 個 作 弊 效 果 。 
menu_storyline_cheat|選 擇 一 項 作 弊 ： 
mno_back_cm|後退 。
menu_camp_action|選 擇 你 要 做 的 事 ： 
mno_toggle_cheat_on|作 弊 目 錄 開 啟 。
mno_toggle_cheat_off|作 弊 目 錄 關 閉 。
mno_camp_action_4|退 回 營 地 菜 單 。 
menu_camp_recruit_prisoners|你 答 應 這 些 俘 虜 ， 如 果 他 們 加 入 你 的 話 ， 你 就 給 予 他 們 自 由 。 {s18}
mno_camp_recruit_prisoners_accept|接 受 。 
mno_camp_recruit_prisoners_half|招 降 一 半 。 
mno_camp_recruit_prisoners_reject|拒 絕 。 
menu_camp_no_prisoners|你 沒 有 俘 虜 可 以 招 降 。 
menu_camp_action_read_book|選 一 本 書 讀 ： 
menu_retirement_verify|現 在 總 共 冒 險 的 時 間 是 {reg0}天 ， 運 氣 是 {reg1} 。 你 確 實 想 要 從 這 場 冒 險 中 退 出 嗎 ？ 
mno_retire_yes|是 的 。 
