str_yes|是 
str_no|否 
str_blank_string| 
str_noone|無 人 
str_s50_and_s51|{s50}和 {s51}
str_s52_and_s51|{s52}和 {s51}
str_s5_s_party|{s5}的 部 隊 
str_given_by_s1_at_s2|{s2}的 {s1}給 予 
str_given_by_s1_in_wilderness|野 外 的 {s1}給 予 
str_s7_raiders|{s7}掠 奪 者 
str_bandits_eliminated_by_another|難 對 付 的 強 盜 被 別 的 隊 伍 消 滅 了 。 
str_msg_battle_won|戰 斗 勝 利 ！ 你 的 敵 人 被 屠 殺 ( 按 TAB鍵 離 開 )
str_tutorial_map1|你 現 在 處 於 地 圖 模 式 中 。 在 地 圖 上 按 左 鍵 可 以 旅 行 / 進 入 鎮 子 / 或 與 其 他 隊 伍 遭 遇 。 如 果 你 的 隊 伍 停 止 不 動 ， 時 間 不 會 流 逝 。 如 果 你 想 在 某 處 等 待 ， 按 住 空 格 鍵 一 直 不 動（ 再 按 住 Ctrl鍵 可 以 使 時 間 加 速 流 逝） 。 ^這 是 存 檔 的 好 時 機 ！ 按 ESC鍵 然 後 選 擇 保 存 ， 也 可 以 按 F12來 快 速 存 檔 ^^歡 迎 來 到 維 京 征 服 世 界 ！ 
str_tutorial_map11|現 在 你 擁 有 一 支 強 大 的 軍 隊 ， 返 回 雅 爾 處 獲 得 下 一 步 的 指 示 。 
str_randomize|隨 機 
str_charge|填 充 
str_color|顏 色 
str_flip_horizontal|水 平 翻 轉 
str_flip_vertical|垂 直 翻 轉 
str_hold_fire|停 止 射 擊 
str_blunt_hold_fire|鈍 器 / 停 止 射 擊 
str_tutorial_ammo_refilled|填 滿 彈 藥 。 
str_tutorial_failed|你 失 敗 了 。 不 過 不 要 緊 。 小 心 地 跟 著 提 示 去 做 ， 你 就 能 在 下 一 次 完 成 得 更 好 。 現 在 請 按 「 TAB 」 鍵 來 回 到 菜 單 ， 並 重 新 開 始 教 程 。 
str_tutorialmq_1_msg_1|你 將 在 本 教 程 中 學 習 移 動 、互 動 和 戰 斗 的 基 礎 知 識 。^^在 維 京 征 服 世 界 中 ， 你 使 用 鼠 標 來 控 制 你 觀 看 的 方 向 ， 和 W ， A ， S ， 和 D 鍵 來 移 動 。你 的 第 一 個 任 務 是 ... ^^ 目 標 ：前 往 船 中 心 。 
str_tutorialmq_1_msg_2|干 得 好 。 接 著 我 們 將 會 說 明 如 何 與 物 品 和 人 物 互 動 。 在 你 附 近 ， 有 一 個 叫 博 多 的 男 人 。 如 果 你 想 找 到 一 個 人 ， 請 移 動 到 該 角 色 前 使 名 字 框 彈 出 。 當 你 找 到 博 多 時 ， 按 F鍵 與 其 談 話。 ^^使 用 F鍵 可 以 與 人 物 和 場 景 物 品 互 動。 你 可 以 進 行 打 開 門 、 箱 子 或 撿 起 物 品 等 動 作。 ^^目 標 ： 與 博 多 談 話 。 
str_tutorialmq_1_msg_3|漂 亮 。 然 後 ， 我 們 將 進 行 武 器 的 教 學 。 ^^將 鼠 標 滾 輪 向 上 滾 動 ， 或 者 使 用 小 鍵 盤 中 相 對 應 的 數 字 鍵 ， 你 可 以 切 換 武 器 欄 中 的 不 同 武 器 。 ^^點 擊 鼠 標 左 鍵 ， 你 將 使 用 當 前 武 器 進 行 攻 擊 。 按 住 鼠 標 左 鍵 不 放 以 准 備 攻 擊 ， 然 後 松 開 以 施 展 攻 擊 。 如 果 你 在 施 展 攻 擊 前 按 住 鼠 標 的 時 間 更 長 ， 那 麼 你 的 攻 擊 則 會 更 強 。 ^^鼠 標 滾 輪 向 下 滾 動 或 者 使 用 數 字 鍵 盤 ， 可 以 取 出 或 收 下 盾 牌 。 ^^目 標 ： 與 老 兵 談 話 ， 練 習 格 斗 。 
str_tutorialmq_1_msg_4|干 得 好 ！ 你 現 在 掌 握 了 維 京 征 服 的 基 本 概 念 。 現 在 你 可 以 進 行 探 索 、 與 NPC進 行 交 談 、 在 船 上 戰 斗 ， 或 者 ， 當 你 准 備 好 的 時 候 ， 和 船 長 交 談 來 繼 續 你 的 冒 險 。
str_finished| （ 完 成） 
str_delivered_damage|施 加 了 {reg60}點 傷 害 。 
str_archery_target_hit|距 離 ： {reg61}碼 。 得 分 ： {reg60}
str_use_baggage_for_inventory|在 戰 斗 中 你 的 行 李 在 你 開 始 的 地 方 ， 通 過 行 李 打 開 你 的 物 品 欄 。 
str_cant_use_inventory_now|不 能 在 這 裡 打 開 物 品 欄 。 
str_cant_use_inventory_arena|不 能 在 這 裡 打 開 物 品 欄 。 
str_cant_use_inventory_disguised|不 能 在 偽 裝 時 打 開 物 品 欄 。 
str_cant_use_inventory_tutorial|在 訓 練 營 不 能 打 開 物 品 欄 。 
str_1_denar|1先 令 
str_reg1_denars|{reg1}先 令 
str_january_reg1_reg2|{reg2}年 1月 {reg1}日 
str_february_reg1_reg2|{reg2}年 2月 {reg1}日 
str_march_reg1_reg2|{reg2}年 3月 {reg1}日 
str_april_reg1_reg2|{reg2}年 4月 {reg1}日 
str_may_reg1_reg2|{reg2}年 5月 {reg1}日 
str_june_reg1_reg2|{reg2}年 6月 {reg1}日 
str_july_reg1_reg2|{reg2}年 7月 {reg1}日 
str_august_reg1_reg2|{reg2}年 8月 {reg1}日 
str_september_reg1_reg2|{reg2}年 9月 {reg1}日 
str_october_reg1_reg2|{reg2}年 10月 {reg1}日 
str_november_reg1_reg2|{reg2}年 11月 {reg1}日 
str_december_reg1_reg2|{reg2}年 12月 {reg1}日 
str_town_nighttime|現 在 是 深 夜 ， 街 上 冷 清 清 的 。 
str_door_locked|門 鎖 上 了 。 
str_castle_is_abondened|看 來 這 是 一 座 無 主 的 堡 壘 。 
str_town_is_abondened|鎮 子 無 人 駐 防 。 
str_place_is_occupied_by_player|這 裡 被 你 自 己 的 部 隊 把 守 著 。 
str_place_is_occupied_by_enemy|這 裡 被 敵 人 把 守 著 。 
str_place_is_occupied_by_friendly|這 裡 被 友 軍 把 守 著 。 
str_do_you_want_to_retreat|你 確 定 要 撤 退 嗎 ？ 
str_give_up_fight|放 棄 戰 斗 ？ 
str_do_you_wish_to_leave_tutorial|你 想 要 離 開 教 程 嗎 ？ 
str_do_you_wish_to_surrender|你 想 投 降 嗎 ？ 
str_can_not_retreat|不 能 撤 退 ！ 附 近 有 敵 人 。 
str_s1_joined_battle_enemy|敵 方 {s1}加 入 戰 斗 。 
str_s1_joined_battle_friend|我 方 {s1}加 入 戰 斗 。 
str_entrance_to_town_forbidden|這 裡 的 守 衛 正 在 搜 尋 敵 人 ， 你 沒 法 輕 易 從 大 門 溜 進 去 。 
str_sneaking_to_town_impossible|這 裡 的 守 衛 警 惕 性 很 高 ， 不 管 你 怎 麼 偽 裝 都 沒 法 溜 進 去 。 
str_battle_won|你 贏 得 了 這 場 戰 斗 ！ 
str_battle_lost|你 輸 掉 了 這 場 戰 斗 ！ 
str_attack_walls_success|在 一 陣 浴 血 戰 斗 之 後 ， 你 士 兵 奮 勇 攻 下 了 城 頭 。 
str_attack_walls_failure|你 的 守 城 士 兵 在 一 波 又 一 波 的 攻 擊 中 堅 持 到 了 最 後 一 個 人 。 
