qstr_Breaking_camp...|終 止 宿 營 ……
qstr_The_poem_the_bard_ha|吟 游 詩 人 為 {s33} 寫 的 詩 似 乎 沒 有 打 動 她 。 
qstr_Poem_for_a_lady|給 女 士 的 詩 
qstr_{s33}_seemed_to_like|{s33} 似 乎 喜 歡 這 首 吟 游 詩 人 為 她 寫 的 詩 。 
qstr_The_bard_s_poem_abou|吟 游 詩 人 講 述 你 的 詩 正 在 廣 泛 傳 播 。 
qstr_Fame_spreads|名 聲 傳 播 
qstr_People_say_that_{s31|人 們 說 {s31}發 現 了 一 個 埋 葬 維 京 {s32} 財 產 墓 穴。 主 對 它 的 所 有 權 爭 議 進 行 平 息 。 
qstr_People_say_that_{s31}|人 們 說 {s31}或 僕 人 偷 了 {s32}的 財 產 。 那 使 得 {s32}憤 怒 。 
qstr_People_say_that_{s31}_|人 們 說 {s31}侍 從 之 一 {s32}一 杯 毒 酒 {s32}激 怒 了 。 
qstr_People_say_that_{s31}_t|人 們 說 {s31}試 圖 賄 賂 一 些 {s32}的 保 鏢 進 入 家 庭 ， 但 {s32}被 發 現 。 
qstr_People_say_that_a_ru|人 們 說 ， 謠 言 傳 播 的 一 個 未 知 的 旅 行 者 未 能 煽 動 {s31} 和 {s32}之 間 的 敵 意 。 
qstr_{s33}|{s33}
qstr_Rumors|謠 言 
qstr_{playername}_is_beli|{playername}被 認 為 是 最 近 的 貶 損 的 謠 言 背 後 涉 及 {s32}和 {s31}.
qstr_A_recent_rumor_alleg|最 近 傳 聞 宣 稱 {s32}隱 藏 在 他 的 保 鏢 背 後 戰 斗 。 
qstr_A_recent_rumor_allege|最 近 傳 聞 宣 稱 {s32}在 他 的 莊 園 裡 練 習 某 種 扭 曲 的 儀 式 。 
qstr_A_recent_rumor_alleges|最 近 傳 聞 宣 稱 {s32}很 喜 歡 他 的 新 母 馬 ， 如 果 你 明 白 我 的 意 思 。 
qstr_A_recent_rumor_alleges_|最 近 傳 聞 宣 稱 {s32}相 比 起 劍 更 想 有 一 個 角 杯 。 
qstr_People_say_that_a_rum|人 們 說 ， 一 個 謠 言 傳 播 的 一 個 未 知 的 旅 行 者 {s32}沒 有 損 害 他 的 名 譽 。 
qstr_{playername}_is_belie|{playername}被 認 為 是 在 傳 播 最 近 的 謠 言 {s32}不 明 智 的 行 為 。 
qstr_A_recent_rumor_sprea|未 知 的 旅 行 者 聲 稱 最 近 的 謠 言 傳 播 {s32}反 對 {s31}.
qstr_People_say_that_a_rumo|人 說 ， 一 個 謠 言 傳 播 的 一 個 未 知 的 旅 行 者 {s32}作 為 一 個 不 忠 的 領 主 之 間 未 能 煽 動 {s32}和 {s31}之 間 的 敵 意 。 
qstr_{playername}_is_believ|{playername}被 認 為 是 在 最 近 的 謠 言 {s32}不 忠 。 
qstr_It_seems_that_{s31}_|看 來 ， {s31}發 現 最 近 的 故 事 關 於 {s32}不 忠 的 可 能 。 
qstr_It_appears_{s31}_has|似 乎 {s31} 駁 斥 了 最 近 的 故 事 關 於 {s32}不 忠 的 ，除 了 他 的 敵 人 的 流 言 蜚 語 。 
qstr_It_seems_that_{s31}_h|看 來 ， {s31}發 現 最 近 的 故 事 關 於 {s32}不 忠 的 似 乎 很 有 道 理 。 
qstr_It_appears_that_{s31|似 乎 {s31}駁 斥 了 最 近 的 故 事 {s32}不 忠 ，除 了 他 敵 人 對 他 的 流 言 蜚 語 。 
qstr_It_seems_that_{s31}_w|看 來 ， {s31}沒 有 被 逗 樂 {s32}被 發 現 參 與 偷 牛 的 計 劃 。 
qstr_It_appears_{s32}_had|似 乎 {s32}設 法 避 免 最 近 的 謀 殺 ， 並 且 他 的 關 系 和 {s31}沒 有 受 到 影 響 。 
qstr_Winter_is_the_worst_|冬 天 是 戰 爭 的 最 壞 時 機 。 寒 冷 ， 潮 濕 ， 食 物 稀 缺 。 人 們 在 冬 天 裡 寧 可 躲 在 室 內 而 不 是 在 外 作 戰 。 注 意 你 的 士 氣 和 食 物 庫 存 。 
qstr_{s40}_decided_to_bec|{s40}決 定 成 為 一 個 探 險 家 {s39}
qstr_It_seems_your_soldie|看 起 來 你 的 士 兵 用 你 庫 存 裡 的 飲 料 度 過 了 一 段 好 時 光 。 
qstr_It_seems_someone_wen|似 乎 有 盜 賊 進 入 你 的 倉 庫 並 偷 走 了 你 一 些 {s33} 。 
qstr_{s22}|{s22}
qstr_{s33}_was_beaten_up_|{s33}被 {s34}的 居 民 毆 打 並 被 丟 進 了 監 獄 。 
qstr_{s33}_s_attempts_to_|{s33}提 高 在 {s34}的 影 響 力 的 行 動 失 敗 了 。 
qstr_The_people_of_{s34}_|{s34}的 人 們 非 常 恨 你 ， {s33}被 守 衛 拒 之 門 外 。 
qstr_A_livestock_epidemic|一 場 瘟 疫 殺 死 了 在 {s4}的 {reg4}頭 牲 口 。 
qstr_A_livestock_epidemic_|一 場 瘟 疫 殺 死 了 在 {s4}的 {reg5}只 羊 。
qstr_A_livestock_epidemic_h|一 場 瘟 疫 殺 死 了 在 {s4}的 {reg4}頭 牛 和 {reg5}只 羊 。
qstr_You_receive_a_messag|你 收 到 來 自 {s1} 的 口 信 要 求 你 用 合 適 的 方 式 支 持 他 們 。
qstr_You_receive_a_message|你 收 到 來 自 {s1}的 口 信 提 醒 你 作 為 封 臣 的 義 務 。
qstr_Your_men_made_some_d|你 的 士 兵 用 牛 奶 做 了 一 些 美 味 的 奶 油 。 
qstr_A_livestock_epidemic_ha|一 場 瘟 疫 殺 死 了 在 {s4}附 近 農 莊 的 {reg5}頭 牛 。
