str_yes|Sí.
str_no|No.
str_blank_string| 
str_noone|ninguno
str_s50_and_s51|{s50} y {s51}
str_s52_and_s51|{s52} y {s51}
str_s5_s_party|Hueste de {s5}
str_given_by_s1_at_s2|Dado por {s1} a {s2}
str_given_by_s1_in_wilderness|Dado por {s1} mientras estaba en el campo
str_s7_raiders|{s7} Asaltantes
str_bandits_eliminated_by_another|Los molestos bandidos han sido aniquilados por otra hueste.
str_msg_battle_won|Batalla ganada, ¡tus enemigos han sido masacrados! (Pulsa la tecla Tab para salir)
str_tutorial_map1|Haz clic con el botón izquierdo del ratón sobre el punto en el mapa hacia el que desees mover tu hueste, entrar en una ciudad o perseguir a un ejército.^El tiempo se detendrá si tu hueste no está en movimiento, a la espera o descansando. Para esperar, simplemente pulsa y mantén pulsada la barra espaciadora.^¡Ése es un buen momento para guardar la partida! Pulsa la tecla Esc y selecciona Guardar Como, o utiliza F12 para hacerlo más rápido.^^¡Buena suerte!
str_tutorial_map11|Ahora tienes una poderosa hueste de hombres. Regresa con el jarl para recibir más instrucciones.
str_randomize|Aleatorio
str_charge|Cargar
str_color|Color
str_flip_horizontal|Voltear horizontal
str_flip_vertical|Voltear vertical
str_hold_fire|Mantener disparos
str_blunt_hold_fire|Sin filo / Mantener fuego
str_tutorial_ammo_refilled|Cargar munición.
str_tutorial_failed|Esta vez te han vencido, pero no te preocupes. Sigue las instrucciones cuidadosamente y lo harás mejor la próxima vez. Pulsa la tecla Tab para regresar al menú donde podrás volver al tutorial.
str_tutorialmq_1_msg_1|En este tutorial aprenderás los conceptos básicos del movimiento, la interacción y el combate.^^En Viking Conquest, con el ratón controlas el punto de vista y las teclas W, A, S y D del teclado sirven para moverte. Tu primera tarea es...^^Objetivo: Ir al centro de la embarcación.
str_tutorialmq_1_msg_2|Bien hecho. A continuación, aprenderemos a interactuar con los objetos y las personas. Cerca de ti, hay un hombre llamado Bodo. Para saber quién es una persona, camina hacia ella hasta que su nombre aparezca en pantalla. Si quieres hablar con Bodo, una vez que lo encuentres, pulsa la tecla F.^^Utiliza la tecla F para interactuar con las personas y los elementos de la escena. Con ella, podrás abrir puertas y cofres, o recoger objetos.^^Objetivo: hablar con Bodo.
