qstr_Breaking_camp...|Levantando el campamento...
qstr_The_poem_the_bard_ha|El poema que el bardo ha compuesto para {s33} no parece funcionar muy bien.
qstr_Poem_for_a_lady|Poema para una dama
qstr_{s33}_seemed_to_like|{s33} parecía gustarle el poema que el bardo había compuesto para ella.
qstr_The_bard_s_poem_abou|El poema que el bardo compuso para ella parece estar extendiéndose por todas partes.
qstr_Fame_spreads|La fama se extiende
qstr_People_say_that_{s31|La gente extiende el rumor de que {s31} encontró un tesoro vikingo enterrado en una propiedad de {s32}, lo cual hace que ambos señores se enfrenten por sus derechos sobre ella.
qstr_People_say_that_{s31}|La gente extiende el rumor de que {s31} o sus secuaces están robando ganado de {s32}, lo cual hace que éste se enfurezca.
qstr_People_say_that_{s31}_|La gente extiende el rumor de que {s31} trató de ofrecer un cuerno de hidromiel envenenada a uno de los guardias de {s32}, lo cual hace que éste se enfurezca.
qstr_People_say_that_{s31}_t|La gente extiende el rumor de que {s31} trató de sobornar a algunos de los guardias de {s32} para acceder a su hacienda, lo cual {s32} no pasa por alto.
qstr_People_say_that_a_ru|La gente extiende un rumor, transmitido por un viajero desconocido, que no pudo desatar la enemistad entre {s31} y {s32}.
qstr_{s33}|{s33}
qstr_Rumors|Rumores
qstr_{playername}_is_beli|Se cree que {playername} está detrás de los recientes rumores despectivos sobre {s32} y {s31}.
qstr_A_recent_rumor_alleg|Un rumor reciente asegura que {s32} se oculta detrás de sus guardaespaldas en la lucha.
qstr_A_recent_rumor_allege|Un rumor reciente asegura que {s32} practica algún tipo de ritual perverso en su hacienda.
qstr_A_recent_rumor_alleges|Un rumor reciente asegura que {s32} está enamorado de su nueva yegua, ya me entiendes...
qstr_A_recent_rumor_alleges_|Un rumor reciente asegura que {s32} prefiere tener un cuerno lleno de hidromiel antes que una espada.
qstr_People_say_that_a_rum|La gente cree que el rumor que un viajero desconocido estaba difundiendo sobre {s32} no logra dañar su reputación.
qstr_{playername}_is_belie|Se cree que {playername} está detrás de los recientes rumores sobre la indiscreción de {s32}.
qstr_A_recent_rumor_sprea|Un reciente rumor, difundido por un viajero desconocido, asegura que {s32} está intrigando contra {s31}.
qstr_People_say_that_a_rumo|La gente asegura que el rumor, difundido por un viajero desconocido, que presenta a {s32} como un vasallo desleal no ha logrado enemistar a {s31} con {s32}.
qstr_{playername}_is_believ|Se cree que {playername} está detrás de los recientes rumores sobre la deslealtad de {s32}.
qstr_It_seems_that_{s31}_|Da la impresión de que {s31} ha encontrado creíbles las historias sobre la falta de lealtad de {s32}.
qstr_It_appears_{s31}_has|Parece que {s31} ha rechazado las historias sobre la supuesta falta de lealtad de {s32}, al considerarlas chismes del enemigo.
qstr_It_seems_that_{s31}_h|Da la impresión de que {s31} ha encontrado plausibles las historias sobre la falta de lealtad de {s32}.
qstr_It_appears_that_{s31|Parece que {s31} ha rechazado las historias sobre la supuesta falta de lealtad de {s32}, al considerarlas chismes del enemigo.
qstr_It_seems_that_{s31}_w|Da la impresión de que a {s31} no le ha hecho gracia que se relacione a {s32} con una historia de robo de ganado.
qstr_It_appears_{s32}_had|Parece que {s32} ha conseguido que no le relacionen con un reciente asesinato, y su relación con {s31} no se resiente.
qstr_Winter_is_the_worst_|El invierno es la peor época para la guerra. Hace frío, llueve mucho y la comida escasea. En invierno, los hombres prefirirían estar sentados junto al fuego antes que de  campaña. Presta atención a la moral y al suministro de alimentos.
qstr_{s40}_decided_to_bec|{s40} decidió convertirse en un aventurero cerca de {s39}
qstr_It_seems_your_soldie|Parece que tus soldados quisieron pasar un buen rato y se apoderaron de algunas bebidas del inventario.
qstr_It_seems_someone_wen|Parece que alguien fue al inventario y robó algo de tu {s33}.
qstr_{s22}|{s22}
qstr_{s33}_was_beaten_up_|{s33} fue golpeado y arrojado al calabozo por una multitud enfurecida en {s34}.
