str_yes|Evet.
str_no|Hayır.
str_blank_string| 
str_noone|Hiç kimse
str_s50_and_s51|{s50} ve {s51}
str_s52_and_s51|{s52} ve {s51}
str_s5_s_party|{s5} ve askerleri
str_given_by_s1_at_s2|{s1} bölgesinde {s2} tarafından verildi
str_given_by_s1_in_wilderness|Kırda {s1} tarafından verildi
str_s7_raiders|{s7} Yağmacıları
str_bandits_eliminated_by_another|Belalı eşkıyalar başka bir grup tarafından yok edildi.
str_msg_battle_won|Savaş kazanıldı, düşmanların alanda katledilmiş bir şekilde yatıyor! Çıkmak için TAB tuşuna basın...
str_tutorial_map1|Şu anda harita modundasınız. Seyahat etmek, kasabalara girmek ve başka gruplarla karşılaşmak için harita üzerinde bir yere farenin sol tuşuyla tıklayın. Normalde, grubunuz hareket etmedikçe zaman ilerlemez. Bir noktada beklemek istiyorsanız, boşluk tuşuna basılı tutun.^Burası oyunu kaydetmeniz için iyi bir zaman! Esc tuşuna basın ve Kaydet'i seçin ya da hızlı kaydet için F12 tuşunu kullanın.^^Viking Kuşatmasına hoşgeldiniz!
str_tutorial_map11|Artık güçlü askerlerin var. Daha fazla talimat için yarla dön.
str_randomize|Rastgele
str_charge|Hücum
str_color|Renk
str_flip_horizontal|Yatay tersyüz et
str_flip_vertical|Dikey tersyüz et
str_hold_fire|Ateşi Kes
str_blunt_hold_fire|Ateşi Kes
str_tutorial_ammo_refilled|Cephane dolduruldu.
str_tutorial_failed|Yenildiniz. Ama endişelenmeyin. Talimatları dikkatle uygularsanız sonraki sefer daha başarılı olursunuz. Şimdi menüye dönmek için 'Tab' tuşuna basın ve eğitimi tekrarlayın.
str_tutorialmq_1_msg_1|Bu başlangıç eğitiminde temel hareketleri, etkileşimi ve dövüşmeyi öğreneceksin. ^^Baktığın yönü değiştirmek için fareyi, hareket etmek için ise W, A, S ve D tuşlarını kullan. İlk görevin... ^^Hedef: Teknenin ortasına git.
str_tutorialmq_1_msg_2|Tebrikler. Şimdi, objelerle ve insanlarla etkileşime girmeyi öğreneceğiz. Çevrende Bodo isimli bir adam var. Kimin kim olduğunu öğrenmek için, ismi belirene kadar insanlara doğru yürü. Bodo'yu bulduğunda onunla konuşmak için F tuşuna bas. ^^Objeler ve insanlarla etkilişime girmek için F tuşunu kullan. Bu tuş; kapıları ve kutuları açmak, eşyaları almak gibi daha bir çok işe yarar.r^^Hedef: Bodo ile konuş.
str_tutorialmq_1_msg_3|Mükemmel. Şimdi de silahlarla saldırı yapmanın üzerinden geçelim. ^^ Fare tekerleğini ileri kaydırarak veya klavyendeki ilk 4 rakamı kullanarak karakterinin taşıdığı farklı silahlar arasında geçiş yapabilirsin. ^^Sol fare tuşu elindeki silah ile saldırı yapmanı sağlar. Bu tuşa basılı tuttuğun sürece saldırın hazır şekilde bekler, tuşu bıraktığın zaman ise saldırı gerçekleşir. Eğer silahını savurmadan önce bu tuşa kısa bir süre basılı tutup saldırını bekletirsen, saldırın daha güçlü olacaktır. ^^Kalkanını çıkarmak veya yerine geri koymak için ise fare tekerleğini geri kaydırman yeterli. ^^Hedef: Dövüş pratiği yapmak için Kıdemli ile konuş.

str_tutorialmq_1_msg_4|İyi iş! Artık Viking Conquest oynayabilmen için gerekli bütün temel konseptleri biliyorsun. Şimdi etrafı gönlünce keşfedebilir, NPCler ile konuşabilir, denizcilerle dövüşebilir ya da, hazır hissettiğin zaman, macerana devam etmek için kaptanla konuşabilirsin..
str_finished|(Bitti)
str_delivered_damage|{reg60} hasar verdiniz.
str_archery_target_hit|Uzaklık: {reg61} yarda. Skor: {reg60}
str_use_baggage_for_inventory|Savaş sırasında envanterinize erişmek için başlangıç noktasında bulunan sandığınızı kullanın.
str_cant_use_inventory_now|Şu anda envantere erişilemez.
str_cant_use_inventory_arena|Arenadayken envantere erişilemez.
str_cant_use_inventory_disguised|Gizlenmişken envantere erişilemez.
str_cant_use_inventory_tutorial|Eğitim alanındayken envantere erişilemez.
str_1_denar|1 pening
str_reg1_denars|{reg1} pening
str_january_reg1_reg2|Ocak {reg1}, {reg2}
