pt_none|Hiç
pt_rescued_prisoners|Kurtarılmış Mahkumlar
pt_enemy|Düşman
pt_hero_party|Kahraman Grubu
pt_village_defenders|Köyü Savunanlar
pt_cattle_herd|Sığır Sürüsü
pt_looters|Hırsızlar
pt_manhunters|Genç Savaşçılar
pt_steppe_bandits|Norwegian Vikingarnir
pt_taiga_bandits|Vikingarnir
pt_desert_bandits|Tecrübeli Hainler
pt_forest_bandits|Haydutlar
pt_mountain_bandits|Hainler
pt_sea_raiders|Sahipsiz Dövüşçüler
pt_sea_raiders2|Danish Elite Vikingarnir
pt_sea_band|Savaşçı Bandosu
pt_frank_looters_1|Hırsızlar
pt_frank_looters_2|Hırsızlar
pt_deserters|Sahipsiz Adamlar
pt_merchant_caravan|Tüccar Kervanı
pt_troublesome_bandits|Belalı Haydutlar
pt_bandits_awaiting_ransom|Fidyeci Haydutlar
pt_kidnapped_girl|Kaçırılmış Kız
pt_village_farmers|Köylü Çiftçiler
pt_spy_partners|Önemsiz Gezginler
pt_runaway_serfs|Kaçak Serfler
pt_spy|Sıradan Köylü
pt_sacrificed_messenger|Kurban Ulak
pt_scout_party|İzciler
pt_messenger_party|Ulak
pt_raider_party|Yağmacılar
pt_raider_captives|Tutsak Yağmacılar
pt_kingdom_caravan_party|Tüccar
pt_prisoner_train_party|Esir Kafilesi
pt_default_prisoners|Varsayılan Mahkumlar
pt_routed_warriors|Bozguna Uğratılmış Düşmanlar
pt_center_reinforcements|Destek Kuvvet
pt_kingdom_hero_party|Savaş Birliği
pt_steppe_bandit_lair|Dövüşçü Kampı
pt_taiga_bandit_lair|Viking Longphort
pt_desert_bandit_lair|Tecrübeli Hain Kampı
pt_forest_bandit_lair|Soyguncu Sığınağı
pt_mountain_bandit_lair|Hain Kampı
pt_sea_raider_lair|Norwegian Longphort
pt_sea_raider_lair2|Danish Longphort
pt_looter_lair|Rehinecilerin ini
pt_leaded_looters|Soyguncu Çetesi
pt_sacerdotes_party|Hristiyan Rahipler
pt_paganos_party|Pagan Din Adamları
pt_sea_raiders_ships|Yağmacılar
pt_sea_raiders_ships2|Danish Vikingr
pt_sea_raiders_ships3|Yağmacılar
pt_sea_raiders_ships4|Norwegian Vikingr
pt_sea_raiders_ships5|Swedish Vikingr
pt_sea_raiders_ships6|Vikingr
pt_chimney_smoke|Duman
pt_epic_fleet|Efsane Viking Donanması
pt_port|Liman
pt_ferry_port|Liman
pt_landet_ships|Gemilerin
pt_fisher_ship|Balıkçı
pt_traveller_ship|Gezgin
pt_slave_trader_ship|Köle Tüccarı
pt_sea_king_danish|Deniz Kralı
pt_sea_king_norweg|Deniz Kralı
pt_walrus_hunter|Mors Avcısı
pt_viking_raider|Yağmacı Viking
pt_ambushers|Pusucular
pt_ship|Gemi
pt_sven_doccinga_ca|Sven'in Yağmacıları
pt_sven_lair_deffense|Sven'in Sığınağı
pt_kennemer_revenge|Yağmacılar
pt_sigurd_farm_men|Sigurd'un Adamları
pt_wessex_foragers|Batı Seaxe Avcıları
pt_wessex_patrol|Batı Seaxe Devriyesi
pt_norway_looters|Hırsızlar
pt_jetty_port|liman
