qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_{s1}_|{s1} 
qstr_Next_Page|Sonraki Sayfa
qstr_Naval_Battle|Deniz Savaşı
qstr_Coastal_Assault__Off|Kıyı Saldırısı (Saldırı)
qstr_Coastal_Assault__Def|Kıyı Saldırısı (Savunma)
qstr_Players:|Oyuncular:
qstr_Invaders:|İstilacılar:
qstr_Invasion_difficulty_|İstila Zorluğu (%):
qstr_Allow_Shield_Bash|Kalkan Darbesine izin ver
qstr_Allow_Falling_From_H|Attan düşüşe izin ver
qstr_Replace_all_weapons_|Tüm siahları Ölümcül Yay ile değiştir
qstr________Game_Descript|-------Oyun Tanımı-------^
qstr_Game_Rules:^|Oyun Kuralları:^
qstr_0|0
qstr_Players:_{reg1}|Oyuncular: {reg1}
qstr_Invaders|İstilacılar
qstr_Extra_silver_for_tro|Askeri birlikler için ekstra gümüş: {reg2}
qstr_{s0}__{reg1}s_|{s0} ({reg1})
qstr_Thor_s_champion_has_|Thor'un müdafisi öldürüldü!
qstr_You_have_killed_the_|Müdafiyi öldürdün ve Thor'un dostluğunu kazandın! 
qstr_{s1}_has_killed_the_|{s1} müdafiyi öldürdü ve Thor'un dostluğunu kazandı! 
qstr_Thor_has_chosen_{s1}|Thor {s1}{.i} yeni müdafisi yaptı! 
qstr_^^Congratulations!^^|^^Tebrikler!^^İstilada hayatta kaldın!
qstr_New_enemies_are_comi|Yeni düşmanlar geliyor!^Kendini Hazırla!
qstr_{reg0}:{reg1}{reg2}_|{reg0}:{reg1}{reg2} sonraki düşman dalgasına kadar.
qstr_Enemies_left:_{reg1}|Dümanlar ayrıldı: {reg1}
qstr_Show_game_rules|Oyun Kurallarını göster
qstr_Admin_tools_panel|Admin Araç Ekranı
qstr_All_Players|Tüm Oyuncular
qstr_Candidate_#1:_{s1}|Aday #1: {s1}
qstr_Candidate_#2:_{s1}|Aday #2: {s1}
qstr_{s3}_of_the_{s4}_wis|{s4} {s3}{.i} yeni bir mareşal seçmek istiyor ve derebeylerini tavsiye almak için çağırıyor. {s1} ve {s2} olası adaylar.
qstr_Whom_do_you_wish_to_|Kimi desteklemek istiyorsun?
qstr_{s1}_gives_his_suppo|{s1} oyunu {s2} için kullanıyor.
qstr_Number_of_Supporters|Destekçi sayısı: {reg0}
qstr_{s2}_has_heard_his_v|{s2} derebeylerinin görüşlerini aldı ve {s3}{.nin} mareşalı olarak {s1}{.i} seçti.
qstr_Strategy_Camera:_pre|Strateji Kamerası: 'V' tuşuna basın.
qstr_Orders|Emirler
qstr_Mount|Ata bin
qstr_Attack_Order|Saldırı Emri
qstr_Stand_Ground|Pozisyonunuzu Koruyun
qstr_Charge|Hücum
qstr_Follow_Me|Beni Takip Edin
qstr_Hold_This_Position|Burada Durun
qstr_Spread_Out|Yayılın
qstr_Stand_Closer|Yakın Durun
qstr_Fall_Back|Geri Çekilin
qstr_Advance|İleri
qstr_Dismount|Attan İnin
qstr_Fire_At_Will|Atış Serbest
qstr_Hold_Your_Fire|Atışı Kes
qstr_Use_Blunt_Weapons|Bayıltıcı Silah Kullan
qstr_Use_Any_Weapon|Silah Serbest
qstr_Ready|Hazır
qstr_Wounded|Yaralı
qstr_Dead|Ölü
qstr_Number_of_men_knocke|Bayıltılan adam sayısı: {reg1}
qstr_Number_of_men_left:_|Kalan adam sayısı: {reg1}
qstr_Opponents_Beaten:_{r|Yenilen düşmanlar: {reg1}
qstr_Opponents_Remaining:|Kalan düşmanlar: {reg1}
qstr_Remain_in_retirement|Emekliliğe devam et.
qstr_Go_back_to_adventuri|Maceraya devam et.
qstr_You_have_retired_at_|{reg5} günlük maceradan sonra {reg4}. seviyede emekli oldun.
qstr_Effect_on_Score|Skora etki
qstr_Settlements_owned_by|Sahip olduğun yerleşimler: {reg0}
qstr_Friendly_Settlements|Dost yerleşimler: {reg0}
qstr_Hostile_Settlements:|Düşman yerleşimler: {reg0}
qstr_Friendly_Lords:_{reg|Dost Lordlar: {reg0}
qstr_Enemy_Lords:_{reg0}|Düşman Lordlar: {reg0}
qstr_Victories:_{reg0}|Galibiyetler: {reg0}
qstr_Defeats:_{reg0}|Mağlubiyetler: {reg0}
qstr_Quests_Completed:_{r|Tamamlanan görevler: {reg0}
qstr_Companions_Found:_{r|Bulunan yoldaşlar: {reg0}
qstr_Companions_Lost/Depa|Ayrılan/Kaybedilen yldaşlar: {reg0}
qstr_Wealth:_{reg0}_penin|Servet: {reg0} pening
qstr_Inventory:_{reg0}_pe|Envanter: {reg0} pening
qstr_Renown:_{reg0}|Şöhret: {reg0}
qstr_Experience:_{reg0}|Tecrübe: {reg0}
qstr_Days_Passed:_{reg0}|Geçen gün sayısı: {reg0}
qstr_Difficulty:_{reg0}%|Zorluk: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|TOPLAM PUAN: {reg0}
qstr_Kingdom_Advisor:|Krallık Danışmaı:
qstr_Kingdom_Tributes:|Krallık Vergileri:
qstr_Your_troops_are_unpa|Birliğin ödemeleri yapılmadı! Moral puanın düştü. 
qstr_F4___Additional_form|F4 - Ek biçimlendirme çeşitleri
qstr_F7___Memorize_div._p|F7 - Sınır yerlerini ezberle
qstr_F8___Default_divisio|F8 - Sınır yerlerini yok et
qstr_F4___Ranks|F4 - Saflar
qstr_F5___Shieldwall|F5 - Koruma Duvarı
qstr_F6___Wedge|F6 - Takoz
qstr_F7___Square|F7 - Meydan
qstr_F8___No_Formation|F8 - Biçimlendirme yok
qstr_Extended_Formations_|Genişletilmiş Biçimlendirme ve AI Seçenekleri
qstr_Disable_mod_formatio|Mod biçimlendirmelerini kapat: 
qstr_Put_player_in_divisi|Sınıra oyuncu koy: 
qstr_{s1}|{s1}
qstr_Formations_rotate_to|Düşman merkezine dönüşü yapılandır: 
