3604
qstr_Breaking_camp... Breaking_camp...
qstr_The_poem_the_bard_ha The_poem_the_bard_had_written_for_{s33}_didn't_seem_to_work_very_well.
qstr_Poem_for_a_lady Poem_for_a_lady
qstr_{s33}_seemed_to_like {s33}_seemed_to_like_the_poem_the_bard_had_written_for_her.
qstr_The_bard_s_poem_abou The_bard's_poem_about_you_seems_to_be_spreading_through_the_land.
qstr_Fame_spreads Fame_spreads
qstr_People_say_that_{s31 People_say_that_{s31}_found_a_buried_Viking_hoard_on_{s32}'s_property._The_lords_came_to_blows_over_its_ownership.
qstr_People_say_that_{s31} People_say_that_{s31}_or_his_servants_are_stealing_cattle_from_{s32}'s_property._That_made_{s32}_furious.
qstr_People_say_that_{s31}_ People_say_that_{s31}_served_one_of_{s32}'s_bodyguards_a_horn_of_poisoned_mead._{s32}_is_infuriated.
qstr_People_say_that_{s31}_t People_say_that_{s31}_tried_to_bribe_some_of_{s32}'s_bodyguards_to_get_access_to_the_household,_but_{s32}_found_out.
qstr_People_say_that_a_ru People_say_that_a_rumor_spread_by_an_unknown_traveller_failed_to_incite_enmity_between_{s31}_and_{s32}.
qstr_{s33} {s33}
qstr_Rumors Rumors
qstr_{playername}_is_beli {playername}_is_believed_to_be_behind_the_recent_derogatory_rumors_involving_{s32}_and_{s31}.
qstr_A_recent_rumor_alleg A_recent_rumor_alleges_that_{s32}_hides_behind_his_bodyguards_in_battles.
qstr_A_recent_rumor_allege A_recent_rumor_alleges_that_{s32}_is_practicing_some_kind_of_perverted_rituals_in_his_mead_hall.
qstr_A_recent_rumor_alleges A_recent_rumor_alleges_that_{s32}_is_very_fond_of_his_new_mare,_if_you_know_what_I_mean.
qstr_A_recent_rumor_alleges_ A_recent_rumor_alleges_that_{s32}_would_rather_wield_a_drinking_horn_than_a_sword.
qstr_People_say_that_a_rum People_say_that_a_rumor_spread_by_an_unknown_traveller_about_{s32}_failed_to_damage_his_reputation.
qstr_{playername}_is_belie {playername}_is_believed_to_be_behind_the_recent_rumors_about_{s32}'s_indiscretions.
qstr_A_recent_rumor_sprea A_recent_rumor_spread_by_an_unknown_traveller_alleges_that_{s32}_is_intriguing_against_{s31}.
qstr_People_say_that_a_rumo People_say_that_a_rumor_spread_by_an_unknown_traveller_about_{s32}_being_a_disloyal_vassal_failed_to_incite_enmity_between_{s32}_and_{s31}.
qstr_{playername}_is_believ {playername}_is_believed_to_be_behind_the_recent_rumors_about_{s32}'s_disloyalty.
qstr_It_seems_that_{s31}_ It_seems_that_{s31}_has_found_recent_stories_about_{s32}'s_infidelity_plausible.
qstr_It_appears_{s31}_has It_appears_{s31}_has_dismissed_recent_stories_about_{s32}'s_infidelity_as_nothing_but_his_enemies'_gossip.
qstr_It_seems_that_{s31}_h It_seems_that_{s31}_has_found_recent_stories_about_{s32}'s_disloyalty_quite_plausible.
qstr_It_appears_that_{s31 It_appears_that_{s31}_has_dismissed_recent_stories_about_{s32}'s_disloyalty_as_nothing_but_his_enemies'_gossip.
qstr_It_seems_that_{s31}_w It_seems_that_{s31}_was_not_amused_after_{s32}_was_found_to_be_involved_in_a_cattle-thieving_scheme.
qstr_It_appears_{s32}_had It_appears_{s32}_had_managed_to_avoid_being_linked_to_a_recent_murder,_and_his_relations_with_{s31}_didn't_suffer.
qstr_Winter_is_the_worst_ Winter_is_the_worst_time_for_war._It's_cold,_it_rains_too_much_and_food_is_scarce._In_winter,_men_would_rather_shelter_by_the_fire_than_campaign._Watch_your_morale_and_your_food_stores.
qstr_{s40}_decided_to_bec {s40}_decided_to_become_an_adventurer_near_{s39}
qstr_It_seems_your_soldie It_seems_your_soldiers_had_a_good_time_and_helped_themselves_to_some_of_the_drinks_in_your_inventory.
qstr_It_seems_someone_wen It_seems_someone_went_through_your_inventory_and_stole_some_of_your_{s33}.
qstr_{s22} {s22}
qstr_{s33}_was_beaten_up_ {s33}_was_beaten_up_and_thrown_into_dungeon_by_an_angry_crowd_in_{s34}.
qstr_{s33}_s_attempts_to_ {s33}'s_attempts_to_influence_people_of_{s34}_have_failed.
qstr_The_people_of_{s34}_ The_people_of_{s34}_hate_you_so_much_that_the_guards_did_not_allow_{s33}_to_enter.
qstr_A_livestock_epidemic A_livestock_epidemic_has_killed_{reg4}_cattle_in_{s4}.
qstr_A_livestock_epidemic_ A_livestock_epidemic_has_killed_{reg5}_sheep_in_{s4}.
qstr_A_livestock_epidemic_h A_livestock_epidemic_has_killed_{reg4}_cattle_and_{reg5}_sheep_in_{s4}.
qstr_{!}DEBUG____Doing_po {!}DEBUG_--_Doing_political_calculations_for_{s9}
qstr_You_receive_a_messag You_receive_a_message_from_{s1}_demanding_lands_to_support_them_in_a_style_that_befits_them.
qstr_You_receive_a_message You_receive_a_message_from_{s1}_reminding_you_of_your_obligations_to_provide_for_your_vassals.
qstr_{!}DEBUG___{s4}_fact {!}DEBUG_-_{s4}_faction_changed_in_defection
qstr_{!}{s4} {!}{s4}
qstr_Your_men_made_some_d Your_men_made_some_delicious_butter_from_cow's_milk.
qstr_A_livestock_epidemic_ha A_livestock_epidemic_has_killed_{reg5}_of_your_cattle_at_a_farmstead_near_{s4}.
qstr_A_livestock_epidemic_has A_livestock_epidemic_has_killed_{reg4}_cattle_and_{reg5}_of_your_cattle_at_a_farmstead_near_{s4}.
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_Your_men_have_nothin Your_men_have_nothing_to_eat!
qstr_{reg1}_{s1}_{reg2?ha {reg1}_{s1}_{reg2?have:has}_escaped_from_your_party_during_the_night.
qstr_{s1}_of_the_{s3}_has {s1}_of_the_{s3}_has_been_released_from_captivity.
qstr_{!}{s1}_is_infested_ {!}{s1}_is_infested_by_bandits_at_night.
qstr_{s1}_is_no_longer_in {s1}_is_no_longer_infested_by_bandits_at_night.
qstr_{s1}_has_won_the_tou {s1}_has_won_the_tournament_at_{s2}.
qstr_{!}{s1}_is_holding_a {!}{s1}_is_holding_a_tournament.
qstr_You_pay_for_accommod You_pay_for_accommodation.
