stringsfile version 1
3761
str_no_string {!}NO_STRING!
str_empty_string {!}_
str_yes Yes.
str_no No.
str_blank_string _
str_error_string {!}ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone no_one
str_s0 {!}{s0}
str_blank_s1 {!}_{s1}
str_reg1 {!}{reg1}
str_s50_comma_s51 {!}{s50},_{s51}
str_s50_and_s51 {s50}_and_{s51}
str_s52_comma_s51 {!}{s52},_{s51}
str_s52_and_s51 {s52}_and_{s51}
str_s5_s_party {s5}'s_Party
str_given_by_s1_at_s2 Given_by_{s1}_at_{s2}
str_given_by_s1_in_wilderness Given_by_{s1}_whilst_in_the_field
str_s7_raiders {s7}_Raiders
str_bandits_eliminated_by_another The_troublesome_bandits_have_been_eliminated_by_another_party.
str_msg_battle_won Battle_won,_your_foes_lie_slaughtered_on_the_field!_(Press_tab_key_to_leave)
str_tutorial_map1 You_are_now_viewing_the_world_map._Left-click_on_the_map_to_move_your_party_to_that_location,_enter_the_selected_town,_or_pursue_the_selected_party.^Time_will_pause_on_the_overland_map_if_your_party_is_not_moving,_waiting_or_resting._To_wait_anywhere_simply_press_and_hold_down_the_space_bar.^This_is_a_good_moment_to_save_your_game!_Press_the_Esc_key_and_choose_Save_As_or_use_F12_for_quick_saving.^^Good_luck!
str_tutorial_map11 You_now_have_a_strong_party_of_men._Return_to_the_jarl_for_further_instruction.
str_change_color_1 {!}Change_Color_1
str_change_color_2 {!}Change_Color_2
str_change_background {!}Change_Background_Pattern
str_change_flag_type {!}Change_Flag_Type
str_change_map_flag_type {!}Change_Map_Flag_Type
str_randomize Randomize
str_sample_banner {!}Sample_banner:
str_sample_map_banner {!}Sample_map_banner:
str_number_of_charges {!}Number_of_charges:
str_change_charge_1 {!}Change_Charge_1
str_change_charge_1_color {!}Change_Charge_1_Color
str_change_charge_2 {!}Change_Charge_2
str_change_charge_2_color {!}Change_Charge_2_Color
str_change_charge_3 {!}Change_Charge_3
str_change_charge_3_color {!}Change_Charge_3_Color
str_change_charge_4 {!}Change_Charge_4
str_change_charge_4_color {!}Change_Charge_4_Color
str_change_charge_position {!}Change_Charge_Position
str_choose_position {!}Choose_position:
str_choose_charge {!}Choose_a_charge:
str_choose_background {!}Choose_background_pattern:
str_choose_flag_type {!}Choose_flag_type:
str_choose_map_flag_type {!}Choose_map_flag_type:
str_choose_color {!}Choose_color:
str_accept {!}Accept
str_charge_no_1 {!}Charge_#1:
str_charge_no_2 {!}Charge_#2:
str_charge_no_3 {!}Charge_#3:
str_charge_no_4 {!}Charge_#4:
str_change {!}Change
str_color_no_1 {!}Color_#1:
str_color_no_2 {!}Color_#2:
str_charge Charge
str_color Color
str_flip_horizontal Flip_Horizontal
str_flip_vertical Flip_Vertical
str_hold_fire Hold_Fire
str_blunt_hold_fire Blunt_/_Hold_Fire
str_tutorial_ammo_refilled Ammo_refilled.
str_tutorial_failed You_have_been_beaten_this_time,_but_don't_worry._Follow_the_instructions_carefully_and_you'll_do_better_next_time._Press_the_Tab_key_to_return_to_the_menu_where_you_can_retry_this_tutorial.
str_tutorialmq_1_msg_1 In_this_tutorial,_you_will_learn_the_basics_of_movement,_interaction,_and_combat._^^In_Viking_Conquest,_you_use_the_mouse_to_control_where_you_are_looking,_and_the_W,_A,_S,_and_D_keys_of_your_keyboard_to_move._Your_first_task_is..._^^Goal:_Go_to_the_center_of_the_boat.
str_tutorialmq_1_msg_2 Well_done._Next,_we_will_learn_to_interact_with_objects_and_persons._Near_you,_there_is_a_man_called_Bodo._To_find_out_who_a_person_is,_walk_toward_him_or_her_until_the_name_pops_up._In_order_to_talk_to_Bodo_once_you_find_him,_press_the_F_key._^^Use_the_F_key_to_interact_with_persons_and_scene_props._It_will_open_doors_and_chests,_pick_up_items_and_more._^^Goal:_Talk_to_Bodo.
